GOESDEC,ACTIVE, RTCNAME, S_OFV, S_ONV, S_NV, S_TTMODE, S_RTFV, S_OTC, S_TBV, S_DTFMT, S_DTSIZE, S_BID, S_BIDCNT, R_OFV, R_ONV, R_NV, R_TTMODE, R_RTFV, R_OTC, R_TBV, R_DTFMT, R_DTSIZE, R_BID, R_BIDCNT, EDITDATE, OWNER,                                                                                                                                                                                       
ARKPORCOGH,1,,4,3,16,R,-8,-12,-15,B,3,,0,2,3,1,I,0,-1,-15,B,3,,0,27-OCT-2011 14:58:16.86,RMICHEL,                                                                                                                                                                                                                                                                                                               
ARKPORCOPC,1,,52,3,16,R,-8,0,-15,B,3,,0,0,0,0,I,0,0,0,,0,,0,28-MAY-2015 09:57:59.37,LDEAVILA,                                                                                                                                                                                                                                                                                                                   
ARKPORCOWC,0,,100,3,1,R,-8,0,-15,B,3,,0,0,0,0,I,0,0,0,,0,,0,28-MAY-2015 10:03:56.79,LDEAVILA,                                                                                                                                                                                                                                                                                                                   
ARKPORCOWE,0,,196,3,16,R,-8,0,-15,B,3,,0,0,0,0,I,0,0,0,,0,,0,28-MAY-2015 10:02:04.94,LDEAVILA,                                                                                                                                                                                                                                                                                                                  
ARKPUECOGH,1,,4,3,16,R,-5,-14,-15,B,3,,0,2,3,0,I,0,-1,-15,B,3,,0,24-OCT-2011 13:11:44.49,RMICHEL,                                                                                                                                                                                                                                                                                                               
ARKPUECOWC,1,,52,3,16,R,-5,0,-15,B,3,,0,0,0,0,I,0,0,0,,0,,0,24-OCT-2011 13:12:13.61,RMICHEL,                                                                                                                                                                                                                                                                                                                    
ARKPUECOWE,1,,100,3,16,R,-5,0,-15,B,3,,0,0,0,0,I,0,0,0,,0,,0,24-OCT-2011 13:12:53.13,RMICHEL,                                                                                                                                                                                                                                                                                                                   
ARKSALCOGH,1,,4,3,16,R,-6,0,-15,B,3,,0,0,0,0,I,0,0,0,,0,,0,01-NOV-2002 09:38:08.08,BSUDDUTH,                                                                                                                                                                                                                                                                                                                    
ARKWELCOGH,1,,4,3,16,R,-6,-11,-15,B,3,,0,2,3,3,I,0,-1,-15,B,3,,0,26-SEP-2012 09:58:38.64,CLORA,                                                                                                                                                                                                                                                                                                                 
ARKWELCOOB,1,,52,3,16,R,-6,0,-15,B,3,,0,5,9,0,I,0,-4,-15,T,3,,0,26-SEP-2012 10:00:14.45,CLORA,                                                                                                                                                                                                                                                                                                                  
ARKWELCOPC,1,,100,3,16,R,-6,0,-15,B,3,,0,2,6,4,I,0,-1,-60,B,3,D,1,26-SEP-2012 10:02:16.27,CLORA,                                                                                                                                                                                                                                                                                                                
ARMT    GH,1,,4,3,8,R,-3,0,-15,B,3,,0,5,6,4,I,0,-4,-60,B,3,D,1,14-APR-2009 12:50:11.37,LDEAVILA,                                                                                                                                                                                                                                                                                                                
ARNE    CHL,1,,7,9,8,R,-11,0,-15,B,3,,0,5,9,0,I,0,-4,-15,B,3,D,1,19-FEB-2009 08:14:03.78,RMICHEL,                                                                                                                                                                                                                                                                                                               
ARNE    CHR,1,,10,9,8,R,-11,0,-15,B,3,,0,2,9,0,I,0,-1,-15,B,3,D,1,19-FEB-2009 08:14:14.07,RMICHEL,                                                                                                                                                                                                                                                                                                              
ARNE    FB,1,,4,9,8,R,-11,0,-15,B,3,,0,3,3,1,I,0,-1,-15,T,3,,0,08-APR-2014 10:18:26.94,RMICHEL,                                                                                                                                                                                                                                                                                                                 
ARWT    GH,1,,7,6,8,R,-5,0,-15,B,3,,0,5,6,4,I,0,-4,-60,B,3,D,1,09-FEB-2004 09:43:36.02,LDEAVILA,                                                                                                                                                                                                                                                                                                                
ARWT    PC,1,,4,6,8,R,-5,0,-15,B,3,,0,2,6,4,I,0,-1,-60,B,3,D,1,09-FEB-2004 09:43:24.67,LDEAVILA,                                                                                                                                                                                                                                                                                                                
AUDL    BV,1,,28,3,4,R,-20,0,15,B,3,,0,0,0,0,I,0,0,0,,0,,0,10-OCT-2017 09:41:32.83,DKNUTESON,                                                                                                                                                                                                                                                                                                                   
AUDL    FB,1,,4,3,4,R,-20,0,15,B,3,,0,2,3,3,I,0,-1,-15,B,3,D,1,10-OCT-2017 09:51:30.69,DKNUTESON,                                                                                                                                                                                                                                                                                                               
AUDL    WF,1,,16,3,4,R,-20,0,15,B,3,,0,0,0,0,I,0,0,0,,0,,0,10-OCT-2017 08:29:23.39,DKNUTESON,                                                                                                                                                                                                                                                                                                                   
BABM    GH,1,,4,3,12,R,-5,0,-15,B,3,,0,2,3,3,I,0,-1,-15,B,3,D,1,04-AUG-2008 13:42:14.05,NPHELPS,                                                                                                                                                                                                                                                                                                                
BACK    GH,1,,4,3,8,R,-11,0,-15,B,3,,0,2,3,3,I,0,-1,-15,B,3,D,1,10-SEP-2015 09:46:42.79,NPHELPS,                                                                                                                                                                                                                                                                                                                
BALM    GH,1,,16,3,4,R,-11,0,-15,T,3,,0,0,0,0,I,0,-1,0,B,3,,0,15-JUN-2005 10:08:23.28,NPHELPS,                                                                                                                                                                                                                                                                                                                  
BALM    VEL,1,,28,3,4,R,-11,0,-15,T,3,,0,0,0,0,I,0,0,0,B,3,D,0,22-AUG-2005 07:23:14.02,NPHELPS,                                                                                                                                                                                                                                                                                                                 
BALM    WF,1,,4,3,4,R,-11,0,-15,T,3,,0,0,0,0,I,0,0,0,B,3,D,0,20-JUL-2005 14:50:36.59,JGIOVANDO,                                                                                                                                                                                                                                                                                                                 
BANE    CH,1,,4,3,4,R,-7,0,-15,B,3,,0,0,0,0,I,0,0,0,,0,,0,28-JUN-2007 09:45:03.59,RMICHEL,                                                                                                                                                                                                                                                                                                                      
BANE    CH_B,1,,16,3,4,R,-7,0,-15,B,3,,0,0,0,0,I,0,0,0,,0,,0,28-JUN-2007 09:45:47.22,RMICHEL,                                                                                                                                                                                                                                                                                                                   
BAWNE   CH,1,,4,3,4,R,-9,0,-15,B,3,,0,2,6,3,I,0,-1,-15,B,3,,0,01-MAY-2015 10:22:15.71,LDEAVILA,                                                                                                                                                                                                                                                                                                                 
BBNE    FB,1,,4,3,4,R,-5,0,-15,B,3,,0,0,0,0,I,0,0,-15,B,3,F,0,20-JUN-2007 14:04:27.90,RMICHEL,                                                                                                                                                                                                                                                                                                                  
BBNE    GH,1,,16,3,4,R,-5,0,-15,B,3,,0,0,0,0,I,-15,-1,-15,B,3,F,0,20-JUN-2007 14:05:12.44,RMICHEL,                                                                                                                                                                                                                                                                                                              
BBR     FB,1,,4,3,8,R,-11,0,-15,B,3,,0,2,3,3,I,0,-1,-15,B,3,D,1,09-JUL-2007 15:03:01.69,RMICHEL,                                                                                                                                                                                                                                                                                                                
BBRNFD  FB,1,,3,3,16,R,-11,0,-15,B,3,,0,2,3,3,I,0,-1,-15,B,3,D,1,13-APR-1995 16:11:15.44,GSANO,                                                                                                                                                                                                                                                                                                                 
BBRSFD  BV,1,,7,6,8,R,-2,0,-15,B,3,,0,0,0,0,I,0,0,0,,0,,0,25-JUN-2010 09:46:14.73,LDEAVILA,                                                                                                                                                                                                                                                                                                                     
