Date,talsys_afavg
1/13/2001,64789.35789
1/14/2001,65056.14842
1/15/2001,65247.54789
1/16/2001,65503.65684
1/17/2001,65732.99632
1/18/2001,65933.92632
1/19/2001,66084.93947
1/20/2001,66298.03895
1/21/2001,66449.73
1/22/2001,66568.37842
1/23/2001,66645.72632
1/24/2001,66730.48316
1/25/2001,66797.58316
1/26/2001,66932.90842
1/27/2001,67082.73474
1/28/2001,67261.94211
1/29/2001,67449.78263
1/30/2001,67721.24474
1/31/2001,68003.71053
2/1/2001,68322.11263
2/2/2001,68569.96158
2/3/2001,68817.36316
2/4/2001,69116.03316
2/5/2001,69346.15263
2/6/2001,69598.63947
2/7/2001,69869.39947
2/8/2001,70070.40316
2/9/2001,70288.43316
2/10/2001,70478.85368
2/11/2001,70672.90316
2/12/2001,70822.43368
2/13/2001,71006.49
2/14/2001,71227.64368
2/15/2001,71396.54263
2/16/2001,71620.70789
2/17/2001,72050.50579
2/18/2001,72351.38526
2/19/2001,72594.37368
2/20/2001,72860.40895
2/21/2001,73165.11579
2/22/2001,73463.24737
2/23/2001,73758.12684
2/24/2001,74018.71474
2/25/2001,74326.74579
2/26/2001,74566.16105
2/27/2001,74850.26105
2/28/2001,75116.64053
3/1/2001,75465.28158
3/2/2001,75773.72579
3/3/2001,76051.81105
3/4/2001,76258.33368
3/5/2001,76478.97579
3/6/2001,76660.31842
3/7/2001,76834.08684
3/8/2001,77062.21895
3/9/2001,77337.02737
3/10/2001,77652.87895
3/11/2001,77979.39842
3/12/2001,78294.37
3/13/2001,78641.57263
3/14/2001,79015.03211
3/15/2001,79454.50526
3/16/2001,79896.51421
3/17/2001,80360.87316
3/18/2001,80844.33684
3/19/2001,81303.61
3/20/2001,81768.20684
3/21/2001,82214.83316
3/22/2001,82743.55947
3/23/2001,83292.91105
3/24/2001,83822.56526
3/25/2001,84314.10211
3/26/2001,84763.19158
3/27/2001,85254.59895
3/28/2001,85686.02684
3/29/2001,86078.47263
3/30/2001,86485.47105
3/31/2001,86877.06368
4/1/2001,87220.59789
4/2/2001,87566.57105
4/3/2001,87892.70263
4/4/2001,88195.82053
4/5/2001,88526.57947
4/6/2001,88828.27895
4/7/2001,89171.30526
4/8/2001,89504.05579
4/9/2001,89853.44895
4/10/2001,90192.20158
4/11/2001,90573.12684
4/12/2001,90915.01263
4/13/2001,91283.59895
4/14/2001,91629.10632
4/15/2001,91922.62
4/16/2001,92234.42842
4/17/2001,92576.89526
4/18/2001,92928.44895
4/19/2001,93196.87947
4/20/2001,93511.90053
4/21/2001,93817.49105
4/22/2001,94067.93789
4/23/2001,94341.39737
4/24/2001,94614.88789
4/25/2001,94851.52316
4/26/2001,95046.22158
4/27/2001,95297.06895
4/28/2001,95568.30947
4/29/2001,95840.72789
4/30/2001,96125.75579
5/1/2001,96390.06105
5/2/2001,96608.15053
5/3/2001,96825.31211
5/4/2001,97049.22579
5/5/2001,97221.99
5/6/2001,97385.35053
5/7/2001,97741.55842
5/8/2001,97903.16737
5/9/2001,98052.74684
5/10/2001,98213.89
5/11/2001,98351.98316
5/12/2001,98441.15579
5/13/2001,98494.52316
5/14/2001,98532.26263
5/15/2001,98592.27105
5/16/2001,98647.31
5/17/2001,98672.74316
5/18/2001,98719.51263
5/19/2001,98753.26053
5/20/2001,98837.39
5/21/2001,98837.13947
5/22/2001,98821.67053
5/23/2001,98793.51421
5/24/2001,98760.50789
5/25/2001,98718.71421
5/26/2001,98683.10526
5/27/2001,98636.76211
5/28/2001,98588.00947
5/29/2001,98495.94316
5/30/2001,98409.81211
5/31/2001,98342.79368
6/1/2001,98231.49526
6/2/2001,98081.61684
6/3/2001,97982.59316
6/4/2001,97906.02526
6/5/2001,97829.09158
6/6/2001,97718.40684
6/7/2001,97604.28105
