 AHMW        QC      : 1980-1992
 AHNW        QD      : 1960-1968
 AHTI        EJ      : 1987-1994
 AHTI        ET      : 1987-2017
 AHTI        ETOS    : 1994-1996, 1998, 2003-2017
 AHTI        ETRS    : 1994-1996, 1998, 2003-2017
 AHTI        MM      : 1987-2017
 AHTI        MN      : 1987-2017
 AHTI        MX      : 1987-2017
 AHTI        PC      : 1987-2017
 AHTI        PP      : 1987-2017
 AHTI        PU      : 1988-2017
 AHTI        SR      : 1987-2017
 AHTI        TA      : 1987-2017
 AHTI        TG      : 1988-2017
 AHTI        TU      : 1987-1992
 AHTI        UA      : 1987-2017
 AHTI        UD      : 1987-2017
 AHTI        UV      : 1987-1992
 AHTI        WG      : 2000-2017
 AHTI        WR      : 1987-2017
 AHTI        XC      : 1989-2017
 AHTI        XD      : 1989-2017
 AHTI        XG      : 1989-2017
 AHTI        XH      : 1989-2017
 AHTI        XJ      : 1997, 2002-2017
 AHTI        YM      : 1989-2017
 AHTI        YP      : 1987-1989
 AHTI        YW      : 1995-2017
 AINE        GJ      : 1990-1997
 ALCO        GD      : 1988-1998
 ALCO        GX      : 1990-1995
 ALCO        HJ      : 1989-1998
 ALCO        QD      : 1988, 1990-1998, 2000-2002
 ALCO        QN      : 1995-1998
 ALCO        QX      : 1990-1998
 ALCO        WJ      : 1989-1990
 ALCO        WM      : 1989-1990
 ALCO        WN      : 1989-1990
 ALCO        WY      : 1989-1990
 ALCO        Z1      : 1989-1990
 ALD         FB      : 1987-1992
 ALF         AF      : 1993-1998
 ALF         FB      : 1988-2018
 ALF         ID      : 1988-2018
 ALF         QD      : 1988-2018
 ALF         QU      : 1969-1982
 ALMW        MM      : 2009-2018
 ALMW        MN      : 2009-2018
 ALMW        MX      : 2009-2018
 ALMW        PC      : 2009-2018
 ALMW        PP      : 2009-2018
 ALMW        PU      : 2014-2018
 ALNO        GJ      : 1993-2018
 ALNO        GJX     : 1993
 ALNO        HH      : 1993-2018
 ALNO        QJ      : 1978-1991, 1993-2018, 8110
 ALNO        QJX     : 1993
 ALPY        DUMMY   : 1987
 ALPY        GD      : 1982-2018
 ALPY        HJ      : 1983-2018
 ALPY        QD      : 1937-1939, 1954-2018, 6190, 8110
 ALPY        QDX     : 1987-1989
 ALPY        QX      : 1986
 ALPY        WI      : 2005-2018
 ALPY        WK      : 2005-2018
 ALPY        WZ      : 2005-2018
 ALTO        GJ      : 2000-2018
 ALTO        HH      : 2000-2018
 ALTO        QJ      : 2000-2018
 ALTY        MM      : 1985-2018
 ALTY        MN      : 1981-2018
 ALTY        MX      : 1981-2018
 ALTY        PC      : 1984-2018
 ALTY        PP      : 1981-2018
 ALTY        PU      : 1993-2018
 AMF         AF      : 1926-2018, 6190, 7100, 8110
 AMF         AF-DWR  : 2005
 AMF         AFX     : 1986-1989
 AMF         AF_DWR  : 1995-2004, 2006-2015
 AMF         AF_WRD  : 1994
 AMF         CS      : 1977-2005
 AMF         DM      : 1985-1990
 AMF         DN      : 1985-1990
 AMF         DO      : 1984-1985
 AMF         DO2     : 1984
 AMF         DO3     : 1984
 AMF         DX      : 1985-1990
 AMF         EJ      : 1988-1991, 1994
 AMF         ET      : 1988-1991, 1994
 AMF         FB      : 1926-2018
 AMF         FBX     : 1986
 AMF         GAIN    : 1941, 1960-2018, 6190
 AMF         GD      : 1982-1997
 AMF         HJ      : 1983-1997
 AMF         HR      : 1984-1986
 AMF         ID      : 1927-2018, 6190
 AMF         IN      : 1984
 AMF         MM      : 1985-2018
 AMF         MN      : 1979-2018
 AMF         MX      : 1979-2018
 AMF         OP      : 1984
 AMF         PC      : 1984-2018
 AMF         PE      : 1981-1992
 AMF         PP      : 1982-2018
 AMF         PU      : 1996-2018
 AMF         PX      : 1979-1983
 AMF         QD      : 1907-1910, 1913-1997, 6190
 AMF         QDX     : 1987-1989
 AMF         QT      : 1983, 1985-1997
 AMF         QU      : 1976-1997
 AMF         QX      : 1986
 AMF         SD      : 1981-1982
 AMF         SI      : 1982-1983
 AMF         SR      : 1983-1995
 AMF         TA      : 1988-1994
 AMF         TG      : 1988-1991, 1994-1995
 AMF         TU      : 1988-1994
 AMF         UA      : 1983-1995
 AMF         UD      : 1983-1995
 AMF         UV      : 1983-1993
 AMF         WD      : 1982-1983
 AMF         WM      : 1984-1992
 AMF         WN      : 1984-1992
 AMF         WR      : 1982-1995
 AMF         WS      : 1982-1983
 AMF         WY      : 1985-1992
 AMF         YM      : 1989-1994
 AMF         YP      : 1988-1989
 AMF         Z1      : 1984
 AMFI        GD      : 1996-2018
 AMFI        HJ      : 1996-2018
 AMFI        MM      : 1996-2018
 AMFI        MN      : 1996-2018
 AMFI        MX      : 1996-2018
 AMFI        QD      : 1907-2018, 6190, 7100, 8110
 AMFI        QT      : 1997-2018
 AMFI        QU      : 1958-1968, 1976-2008
 AMFI        WI      : 2006-2018
 AMFI        WK      : 2006-2018
 AMFI        WZ      : 2006-2018
 AMFSPR      QD      : 1985, 1988, 1992, 1994-2002
 AMRW        QD      : 1909-1911, 1940-1984, 1995-2018
 ANAW        GD      : 1985-2018
 ANAW        HJ      : 1985-2018
 ANAW        QD      : 1958-2018
 ANAW        QN      : 1989-2018
 ANAW        QX      : 1989-2018
 ANAW        WM      : 1992-2013
 ANAW        WN      : 1992-2013
 ANAW        WY      : 1992-2013
 ANCI        GJ      : 1983-2018
 ANCI        HH      : 1983-2016
 ANCI        HH1     : 1988-1989
 ANCI        QJ      : 1977-2018
 AND         AF      : 1946-2018, 6190, 7100, 8110
 AND         AS      : 1981-1985
 AND         CS      : 1980
 AND         FB      : 1951, 1980-2018
