GOESDEC,ACTIVE, RTCNAME, S_OFV, S_ONV, S_NV, S_TTMODE, S_RTFV, S_OTC, S_TBV, S_DTFMT, S_DTSIZE, S_BID, S_BIDCNT, R_OFV, R_ONV, R_NV, R_TTMODE, R_RTFV, R_OTC, R_TBV, R_DTFMT, R_DTSIZE, R_BID, R_BIDCNT, EDITDATE, OWNER,                                                                                                                                                                                       
ARK     PC,1,,28,3,4,R,-2,0,-15,B,3,,0,20,3,3,I,0,-19,-15,T,3,,0,19-JAN-2012 13:41:58.35,KTARBET,                                                                                                                                                                                                                                                                                                               
ARK     TV,0,,16,3,4,R,-2,0,-15,T,3,,0,5,6,3,I,0,-4,-15,B,3,xxx,3,21-DEC-2009 13:41:22.10,KTARBET,                                                                                                                                                                                                                                                                                                              
ARK     WD,1,,40,3,4,R,-2,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,05-MAY-2016 15:31:00.53,WRICHARD,                                                                                                                                                                                                                                                                                                                    
ARK     WS,1,,52,3,4,R,-2,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,05-MAY-2016 15:32:28.00,WRICHARD,                                                                                                                                                                                                                                                                                                                    
ARNO    CH,1,,4,9,4,R,-1,0,-15,S,3,,0,2,3,3,I,0,-1,-15,B,3,D,1,17-JAN-2006 13:59:42.66,JDOTY,                                                                                                                                                                                                                                                                                                                   
ARNO    OB,1,,7,9,4,R,-1,0,-15,S,3,,0,2,3,3,I,0,-1,-15,B,3,D,1,17-JAN-2006 13:59:47.26,JDOTY,                                                                                                                                                                                                                                                                                                                   
ARNO    WF,1,,10,9,4,R,-1,0,-15,S,3,,0,2,3,3,I,0,-1,-15,B,3,D,1,17-JAN-2006 13:59:51.52,JDOTY,                                                                                                                                                                                                                                                                                                                  
ASCI    CH,1,CH_WEIR,1,3,4,R,-4,0,-15,T,3,,0,2,3,3,I,0,-1,-15,B,3,D,1,08-APR-2015 08:45:51.17,JHILDRETH,                                                                                                                                                                                                                                                                                                        
ASLO    BV,1,,22,21,4,R,-3,0,-15,S,3,,0,0,0,0,I,0,0,0,,0,,0,21-JAN-2016 10:17:41.30,CALLEN,                                                                                                                                                                                                                                                                                                                     
ASLO    CH,1,,10,21,4,R,-3,0,-15,S,3,,0,0,0,0,I,0,0,0,,0,,0,09-NOV-2012 06:35:14.76,CALLEN,                                                                                                                                                                                                                                                                                                                     
ASLO    WF,1,,19,21,4,R,-3,0,-15,S,3,,0,0,0,0,I,0,0,0,,0,,0,09-NOV-2012 06:35:29.81,CALLEN,                                                                                                                                                                                                                                                                                                                     
ATLI    OB,1,,4,3,4,R,-1,0,-15,T,3,,0,3,3,3,I,0,-1,-15,T,3,$A,2,17-MAR-2007 09:11:18.75,WRICHARD,                                                                                                                                                                                                                                                                                                               
ATLI    PC,1,,16,3,4,R,-1,0,-15,T,3,,0,3,3,3,I,0,-1,-15,T,3,$B,2,17-MAR-2007 09:09:16.37,WRICHARD,                                                                                                                                                                                                                                                                                                              
ATLI    SP,1,,28,3,4,R,-1,0,-15,T,3,,0,3,3,3,I,0,-1,-15,T,3,$C,2,17-MAR-2007 09:09:51.37,WRICHARD,                                                                                                                                                                                                                                                                                                              
AUCI    CH,1,CH_WEIR,1,3,4,R,-6,0,-15,T,3,,0,2,3,3,I,0,-1,-15,B,3,D,1,08-MAY-2013 17:53:23.12,KTARBET,                                                                                                                                                                                                                                                                                                          
AUGW    GH,1,,4,3,8,R,-2,0,-15,T,3,,0,2,3,2,I,0,-1,-15,T,3,2,1,20-NOV-2009 09:34:28.33,CALLEN,                                                                                                                                                                                                                                                                                                                  
BALO    OB,1,,4,3,4,R,-2,0,-15,T,3,,0,3,3,3,I,0,-1,-15,T,3,$A,2,19-JAN-2007 19:45:05.90,WRICHARD,                                                                                                                                                                                                                                                                                                               
BALO    PC,1,,16,3,4,R,-2,0,-15,T,3,,0,3,3,3,I,0,-1,-15,T,3,$B,2,19-JAN-2007 19:45:55.87,WRICHARD,                                                                                                                                                                                                                                                                                                              
BARI    GH,1,,10,9,8,R,-12,0,-15,T,3,,0,0,0,32,I,0,0,0,,32,,0,01-JUN-2016 15:22:13.06,KTARBET,                                                                                                                                                                                                                                                                                                                  
BASO    GH,1,,4,9,8,R,-1,0,-15,S,3,,0,0,0,0,I,0,0,0,,0,,0,22-MAY-2014 16:23:43.17,KTARBET,                                                                                                                                                                                                                                                                                                                      
BASO    GH2,1,,7,9,8,R,-1,0,-15,S,3,,0,0,0,0,I,0,0,0,,0,,0,13-JUL-2011 14:31:13.36,JROCHA,                                                                                                                                                                                                                                                                                                                      
BASO    WF,1,,10,9,8,R,-1,0,-15,S,3,,0,0,0,0,I,0,0,0,,0,,0,13-JUL-2011 14:30:58.99,JROCHA,                                                                                                                                                                                                                                                                                                                      
BBBO    GH,1,,4,6,4,R,-13,0,-15,X,3,,0,0,0,0,I,0,0,0,,0,,0,02-FEB-2015 07:46:58.72,CALLEN,                                                                                                                                                                                                                                                                                                                      
BBBO    WF,1,,7,6,4,R,-13,0,-15,X,3,,0,0,0,0,I,0,0,0,,0,,0,02-FEB-2015 07:47:10.07,CALLEN,                                                                                                                                                                                                                                                                                                                      
BBYI    GH,1,,12,5,8,R,-8,0,-15,F,4,Sta,3,2,3,3,I,0,-1,-15,T,3,D,1,30-MAR-2012 07:45:37.43,KTARBET,                                                                                                                                                                                                                                                                                                             
BCAO    GH,1,,4,6,4,R,-15,0,-15,S,3,,0,0,0,0,I,0,0,0,,0,,0,17-JAN-2006 14:00:40.07,JDOTY,                                                                                                                                                                                                                                                                                                                       
BCAO    WF,1,,7,6,4,R,-15,0,-15,S,3,,0,0,0,0,I,0,0,0,,0,,0,17-JAN-2006 14:00:44.90,JDOTY,                                                                                                                                                                                                                                                                                                                       
BCCO    CH,1,,1,9,4,R,-45,0,15,X,3,,0,0,0,0,I,0,0,0,,0,,0,11-MAY-2004 22:27:51.71,SLIVINGSTON,                                                                                                                                                                                                                                                                                                                  
BCCO    HK,1,,4,9,4,R,-45,0,15,X,3,,0,0,0,0,I,0,0,0,,0,,0,11-MAY-2004 22:28:41.13,SLIVINGSTON,                                                                                                                                                                                                                                                                                                                  
BCCO    QC,1,,7,9,4,R,-45,0,15,X,3,,0,0,0,0,I,0,0,0,,0,,0,11-MAY-2004 22:29:05.47,SLIVINGSTON,                                                                                                                                                                                                                                                                                                                  
BCGO    CH,1,,10,24,4,R,-4,0,-15,X,3,,0,0,0,0,I,0,0,0,,0,,0,09-FEB-2015 07:14:17.25,CALLEN,                                                                                                                                                                                                                                                                                                                     
