ANDERSON FORECAST                                                                                                 
     1.11    34.44   102.70    15.45    74.02                                                                 2004
     0.60    31.61    35.20    47.90    75.49                                                                 2005
     0.77    60.74   114.50    24.86   182.61                                                                 2006
     1.59    28.20    66.50    14.34    47.71                                                                 2007
     0.00    31.95    99.00    16.34    86.71                                                                 2008
     0.28    25.59    55.30    30.80    58.05                                                                 2009
     0.20    46.52    71.60    24.11    78.48                                                                 2010
     0.32    51.96    73.10    45.72   171.09                                                                 2011
     1.42    30.74    63.50    22.72    75.14                                                                 2012
BEULAH NEW PROCEDURE                                                                                              
  5  5 70                 1 11943    1    1     440                                                               
BEULAH LTF                                                                                                        
    12.56   110.96    75.26    46.80   154.52                                                                 1943
    10.67    32.69    59.17    16.90    48.75                                                                 1944
     9.27    52.00    77.59    32.60    79.68                                                                 1945
    11.03    76.50    63.37    47.60   102.73                                                                 1946
    11.56    47.56    65.02    15.80    60.36                                                                 1947
     9.25    28.51    69.22    32.00    78.31                                                                 1948
    10.65    58.09    49.18    41.70    84.18                                                                 1949
     9.75    43.54    59.17    47.50    81.20                                                                 1950
    11.80    52.50    66.26    42.40    81.80                                                                 1951
    10.86    68.44    82.33    56.60   149.02                                                                 1952
     9.83    67.64    83.43    43.90   120.69                                                                 1953
    12.09    48.07    58.32    26.30    71.52                                                                 1954
     9.60    22.25    46.88    31.80    47.50                                                                 1955
    13.26    94.60    75.86    39.30   115.96                                                                 1956
    11.57    99.11    91.72    36.70   107.60                                                                 1957
    11.61   104.74    90.08    51.20   170.61                                                                 1958
    11.85    32.11    41.81    19.00    56.84                                                                 1959
     9.73    59.73    60.93    27.40    79.29                                                                 1960
     9.53    43.31    55.81    28.30    53.07                                                                 1961
     9.58    48.62    58.67    35.30    71.17                                                                 1962
    13.10    59.03    82.03     7.20    86.21                                                                 1963
     9.65    27.21    71.10    36.40    62.45                                                                 1964
    26.12   102.95    87.72    43.30   161.56                                                                 1965
    11.33    39.33    34.53    21.40    55.66                                                                 1966
    10.55    55.25    76.37    34.00    90.61                                                                 1967
    10.10    59.73    44.59    10.60    58.54                                                                 1968
    10.33    53.73    75.29    34.00   110.52                                                                 1969
     9.95    88.79    85.22    44.90   126.91                                                                 1970
    13.31    87.02    81.47    45.90   157.21                                                                 1971
    12.29   105.12    58.43    33.30   104.08                                                                 1972
    11.15    39.52    48.75    23.70    54.93                                                                 1973
    18.45   125.45    66.71    48.70   177.90                                                                 1974
    10.83    49.92    67.45    54.70   132.85                                                                 1975
    12.97    38.97    52.50    40.20    73.67                                                                 1976
     9.33    19.84    29.75     9.10    31.56                                                                 1977
    10.13   100.34    88.34    21.50    98.57                                                                 1978
     9.71    68.15    57.92    39.70    78.67                                                                 1979
    10.10    78.85    83.19    37.50   102.54                                                                 1980
    12.64    59.33    71.74    21.00    72.02                                                                 1981
    16.76   170.25   103.89    54.80   203.36                                                                 1982
    17.15   229.56   100.27    59.60   225.97                                                                 1983
    18.25   162.75    89.83    51.20   195.25                                                                 1984
    16.68    53.61    48.84    34.70    87.61                                                                 1985
    12.35   164.60    65.91    24.60   120.94                                                                 1986
    11.53    40.36    49.07    19.40    46.87                                                                 1987
     9.33    30.99    55.54     9.10    40.23                                                                 1988
     9.09   100.53    81.26    46.80    99.08                                                                 1989
     9.69    30.91    36.10    14.40    41.59                                                                 1990
     8.31    25.17    54.57    19.90    44.43                                                                 1991
     9.89    36.88    57.87     1.90    39.90                                                                 1992
     8.58   127.11    89.90    28.70   144.03                                                                 1993
    11.51    33.42    39.39    12.70    37.59                                                                 1994
     8.77   104.24    91.96    24.40   106.45                                                                 1995
    15.02   111.18    81.40    17.80   117.26                                                                 1996
    23.29   109.79    80.95    26.00   137.20                                                                 1997
    12.55    87.05    96.83    30.60   121.31                                                                 1998
    14.06   110.28    60.96    45.80   148.65                                                                 1999
    13.11    80.64    60.30    33.80    98.38                                                                 2000
    11.61    35.11    43.81    13.90    48.36                                                                 2001
     9.66    47.27    44.40    26.10    64.52                                                                 2002
     9.34    41.51    56.80    12.50    59.23                                                                 2003
     9.10    87.20    51.22    25.10    79.56                                                                 2004
    11.06    55.85    81.61    11.50    82.31                                                                 2005
    13.47   123.51    87.13    47.00   189.21                                                                 2006
    11.85    44.10    44.28    11.70    55.25                                                                 2007
    10.27    41.93    49.99    40.30    93.17                                                                 2008
    10.94    34.33    65.20    28.70    65.27                                                                 2009
     9.09    52.35    76.99    28.00    84.59                                                                 2010
    12.81    92.42   100.67    40.80   179.03                                                                 2011
    12.95    48.55    55.21    26.30    84.11                                                                 2012
BOISE FORECAST                                                                                                    
  5  5 63                 1 11950    1    1    2680                                                               
BOISE                                                                                                             
   157.23    89.53   243.50    14.46  2202.60                                                                 1950
   234.41    91.27   251.36    20.46  2432.72                                                                 1951
   228.69   113.66   289.00    16.78  2747.17                                                                 1952
   154.37    77.69   240.10    34.17  2046.80                                                                 1953
   161.51    75.94   254.40    21.50  1966.76                                                                 1954
   146.58    47.71   169.70    32.44  1351.41                                                                 1955
   324.28   111.59   316.90    28.33  3029.35                                                                 1956
   201.11    91.77   239.20    29.42  2308.78                                                                 1957
   164.63    86.55   267.50    41.18  2370.46                                                                 1958
   199.14    73.81   188.70    19.06  1524.69                                                                 1959
   196.78    73.10   155.00    13.36  1669.08                                                                 1960
   148.31    64.40   170.70    11.44  1105.71                                                                 1961
   156.16    82.99   218.10    22.72  1787.50                                                                 1962
   172.72    63.14   145.00    41.83  1685.38                                                                 1963
   168.92    74.84   197.60    22.42  1662.94                                                                 1964
   363.05   112.38   331.60    30.80  3489.35                                                                 1965
   206.75    50.65   169.20     8.65  1240.46                                                                 1966
   136.08    68.52   218.20    27.95  1686.50                                                                 1967
   162.01    62.03   154.50    14.15  1200.13                                                                 1968
   204.88    95.94   263.70    16.77  2488.72                                                                 1969
   156.49    90.13   223.60    28.96  2111.11                                                                 1970
   259.88   120.89   315.00    19.89  3276.18                                                                 1971
