Date,0,10000,20000,30000,40000,50000,60000,70000,80000,90000,100000,110000,120000,130000,140000,150000,160000,170000,180000,190000,200000,210000,220000,230000,240000,250000,260000,270000,280000,290000,300000
3/13/2011,6377.482458,6377.482458,6377.482458,6377.482458,6377.482458,6377.482458,6377.482458,6377.482458,6377.482458,6377.482458,6377.482458,6377.482458,6377.482458,6377.482458,6377.482458,6377.482458,6377.482458,6377.482458,6377.482458,6377.482458,7975.304544,12983.60283,18042.46033,23142.72026,28275.22582,33430.82023,38600.34668,43774.64839,48944.56856,54100.9504,59234.63713
3/14/2011,3974.107803,3974.107803,3974.107803,3974.107803,3974.107803,3974.107803,3974.107803,3974.107803,3974.107803,3974.107803,3974.107803,3974.107803,3974.107803,3974.107803,3974.107803,3974.107803,3974.107803,3974.107803,3974.107803,4109.227113,9055.641359,14060.91994,19115.90605,24211.44292,29338.37374,34487.54172,39649.79008,44815.96201,49976.90074,55123.44946,60246.45138
3/15/2011,1606.717673,1606.717673,1606.717673,1606.717673,1606.717673,1606.717673,1606.717673,1606.717673,1606.717673,1606.717673,1606.717673,1606.717673,1606.717673,1606.717673,1606.717673,1606.717673,1606.717673,1606.717673,1606.717673,5191.222716,10135.43145,15137.65285,20188.7301,25279.50643,30400.82503,35543.52912,40698.46191,45856.4666,51008.3864,56145.06451,61257.34416
3/16/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1397.005085,6272.653073,11214.61883,16213.74556,21260.87648,26346.85479,31462.52371,36598.72643,41746.30617,46896.10613,52038.96953,57165.73957,62267.25946
3/17/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2479.242978,7353.462186,12293.14749,17289.14208,22332.28919,27413.43202,32523.41376,37653.07764,42793.26686,47934.82463,53068.59415,58185.41864,63276.1413
3/18/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3560.841102,8433.594055,13370.96142,18363.78641,23402.91223,28479.18209,33583.4392,38706.52676,43839.28798,48972.56608,54097.20425,59204.04571,64283.93367
3/19/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4641.743458,9512.99268,14448.00464,19437.62255,24472.6896,29544.04903,34642.54402,39759.01778,44884.31354,50009.27448,55124.74383,60221.56479,65290.58057
3/20/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924.2538798,5721.894045,10591.60206,15524.22114,20510.59449,25541.56531,30607.97682,35700.67221,40810.49471,45928.28752,51044.89385,56151.15689,61237.91987,66296.026
3/21/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004.323702,6801.236864,11669.3662,16599.55492,21582.64623,26609.48334,31670.90946,36757.76779,41860.90155,46971.15394,52079.36816,57176.38744,62253.05497,67300.21396
3/22/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3083.567232,7879.715916,12746.2291,17673.94999,22653.72179,27676.38771,32732.79097,37813.77476,42910.1823,48012.85679,53112.64144,58200.37946,63266.91407,68303.08845
