Date,0,10000,20000,30000,40000,50000,60000,70000,80000,90000,100000
4/14/2011 0:00,0,2827.441423,6668.923115,9217.641055,11424.15935,13767.82507,14632.07547,14632.07547,14632.07547,14632.07547,14632.07547
4/15/2011 0:00,0,2886.685568,6727.870155,9275.639739,11482.70714,13822.43948,14320.75472,14320.75472,14320.75472,14320.75472,14320.75472
4/16/2011 0:00,0,2945.944801,6786.740079,9333.654064,11541.29436,13876.40057,14009.43396,14009.43396,14009.43396,14009.43396,14009.43396
4/17/2011 0:00,0,3005.212934,6845.520624,9391.685083,11599.92206,13698.11321,13698.11321,13698.11321,13698.11321,13698.11321,13698.11321
4/18/2011 0:00,0,3064.483353,6904.199101,9449.733851,11658.59129,13386.79245,13386.79245,13386.79245,13386.79245,13386.79245,13386.79245
4/19/2011 0:00,0,3123.74902,6962.762396,9507.801422,11717.30311,13075.4717,13075.4717,13075.4717,13075.4717,13075.4717,13075.4717
4/20/2011 0:00,0,3183.002472,7021.19697,9565.888851,11776.05857,12764.15094,12764.15094,12764.15094,12764.15094,12764.15094,12764.15094
4/21/2011 0:00,0,3242.235819,7079.488858,9623.997191,11834.85873,12452.83019,12452.83019,12452.83019,12452.83019,12452.83019,12452.83019
4/22/2011 0:00,0,3301.440749,7137.623672,9682.127496,11893.70464,12141.50943,12141.50943,12141.50943,12141.50943,12141.50943,12141.50943
4/23/2011 0:00,0,3360.608522,7195.586596,9740.280821,11830.18868,11830.18868,11830.18868,11830.18868,11830.18868,11830.18868,11830.18868
4/24/2011 0:00,0,3419.729975,7253.362391,9798.45822,11518.86792,11518.86792,11518.86792,11518.86792,11518.86792,11518.86792,11518.86792
4/25/2011 0:00,0,3478.795517,7310.935392,9856.660747,11207.54717,11207.54717,11207.54717,11207.54717,11207.54717,11207.54717,11207.54717
4/26/2011 0:00,0,3537.795134,7368.289509,9914.889457,10896.22642,10896.22642,10896.22642,10896.22642,10896.22642,10896.22642,10896.22642
4/27/2011 0:00,0,3596.718387,7425.408227,9973.145402,10584.90566,10584.90566,10584.90566,10584.90566,10584.90566,10584.90566,10584.90566
4/28/2011 0:00,0,3655.554411,7482.274606,10031.42964,10273.58491,10273.58491,10273.58491,10273.58491,10273.58491,10273.58491,10273.58491
4/29/2011 0:00,0,3714.291916,7538.871279,9962.264151,9962.264151,9962.264151,9962.264151,9962.264151,9962.264151,9962.264151,9962.264151
4/30/2011 0:00,0,3772.919187,7595.180457,9650.943396,9650.943396,9650.943396,9650.943396,9650.943396,9650.943396,9650.943396,9650.943396
5/1/2011 0:00,0,3831.424084,7651.183923,9339.622642,9339.622642,9339.622642,9339.622642,9339.622642,9339.622642,9339.622642,9339.622642
5/2/2011 0:00,0,3889.794042,7706.863037,9028.301887,9028.301887,9028.301887,9028.301887,9028.301887,9028.301887,9028.301887,9028.301887
5/3/2011 0:00,0,3948.016068,7762.198731,8716.981132,8716.981132,8716.981132,8716.981132,8716.981132,8716.981132,8716.981132,8716.981132
5/4/2011 0:00,0,4006.07675,7817.171516,8405.660377,8405.660377,8405.660377,8405.660377,8405.660377,8405.660377,8405.660377,8405.660377
5/5/2011 0:00,0,4063.962244,7871.761474,8094.339623,8094.339623,8094.339623,8094.339623,8094.339623,8094.339623,8094.339623,8094.339623
5/6/2011 0:00,0,4121.658285,7783.018868,7783.018868,7783.018868,7783.018868,7783.018868,7783.018868,7783.018868,7783.018868,7783.018868
5/7/2011 0:00,0,4179.150183,7471.698113,7471.698113,7471.698113,7471.698113,7471.698113,7471.698113,7471.698113,7471.698113,7471.698113
5/8/2011 0:00,0,4236.42282,7160.377358,7160.377358,7160.377358,7160.377358,7160.377358,7160.377358,7160.377358,7160.377358,7160.377358
5/9/2011 0:00,0,4293.460655,6849.056604,6849.056604,6849.056604,6849.056604,6849.056604,6849.056604,6849.056604,6849.056604,6849.056604
5/10/2011 0:00,0,4350.247722,6537.735849,6537.735849,6537.735849,6537.735849,6537.735849,6537.735849,6537.735849,6537.735849,6537.735849
5/11/2011 0:00,0,4406.767628,6226.415094,6226.415094,6226.415094,6226.415094,6226.415094,6226.415094,6226.415094,6226.415094,6226.415094
5/12/2011 0:00,0,4463.003558,5915.09434,5915.09434,5915.09434,5915.09434,5915.09434,5915.09434,5915.09434,5915.09434,5915.09434
5/13/2011 0:00,0,4518.938267,5603.773585,5603.773585,5603.773585,5603.773585,5603.773585,5603.773585,5603.773585,5603.773585,5603.773585
5/14/2011 0:00,0,4574.55409,5292.45283,5292.45283,5292.45283,5292.45283,5292.45283,5292.45283,5292.45283,5292.45283,5292.45283
5/15/2011 0:00,0,4629.832934,4981.132075,4981.132075,4981.132075,4981.132075,4981.132075,4981.132075,4981.132075,4981.132075,4981.132075
5/16/2011 0:00,0,4669.811321,4669.811321,4669.811321,4669.811321,4669.811321,4669.811321,4669.811321,4669.811321,4669.811321,4669.811321
5/17/2011 0:00,0,4358.490566,4358.490566,4358.490566,4358.490566,4358.490566,4358.490566,4358.490566,4358.490566,4358.490566,4358.490566
5/18/2011 0:00,0,4047.169811,4047.169811,4047.169811,4047.169811,4047.169811,4047.169811,4047.169811,4047.169811,4047.169811,4047.169811
5/19/2011 0:00,0,3735.849057,3735.849057,3735.849057,3735.849057,3735.849057,3735.849057,3735.849057,3735.849057,3735.849057,3735.849057
5/20/2011 0:00,0,3424.528302,3424.528302,3424.528302,3424.528302,3424.528302,3424.528302,3424.528302,3424.528302,3424.528302,3424.528302
5/21/2011 0:00,0,3113.207547,3113.207547,3113.207547,3113.207547,3113.207547,3113.207547,3113.207547,3113.207547,3113.207547,3113.207547
5/22/2011 0:00,0,2801.886792,2801.886792,2801.886792,2801.886792,2801.886792,2801.886792,2801.886792,2801.886792,2801.886792,2801.886792
5/23/2011 0:00,0,2490.566038,2490.566038,2490.566038,2490.566038,2490.566038,2490.566038,2490.566038,2490.566038,2490.566038,2490.566038
5/24/2011 0:00,0,2179.245283,2179.245283,2179.245283,2179.245283,2179.245283,2179.245283,2179.245283,2179.245283,2179.245283,2179.245283
5/25/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
5/26/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
5/27/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
5/28/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
5/29/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
5/30/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
5/31/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
6/1/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
6/2/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
6/3/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
6/4/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
6/5/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
6/6/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
6/7/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
6/8/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
6/9/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
6/10/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
6/11/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
6/12/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
6/13/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
6/14/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
6/15/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
6/16/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
