Date,0,100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000,3100000,3200000,3300000,3400000,3500000,3600000,3700000,3800000,3900000,4000000,4100000,4200000,4300000,4400000,4500000,4600000,4700000,4800000,4900000,5000000
3/11/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,0,12138.33498,36565.10161,61510.91749,89756.29961,103798.4505,116656.8858,129001.73,141503.1511,153210.9033,166451.6519,178928.0589,190400.9433,201083.6015,211597.5225,230697.0171,246626.0677,262217.1995,277992.3187,292447.0423,309221.7863,328753.2288,346915.183,364153.4456,385716.1642,399691.8401,413734.825,428289.0986,443683.3787,460130.8405,477729.3689,496461.4144,516194.1254,536678.9656,557552.2812,557552.2812,557552.2812,557552.2812,557552.2812,557552.2812
3/12/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,0,15343.00378,39821.28842,64779.79719,92995.92994,107300.5746,120428.2357,133049.0374,145833.1484,157914.6025,171523.9385,184311.2799,196048.0854,206958.2943,217715.0754,237260.3285,253576.2522,269515.1747,285618.8087,300523.3141,317652.1658,337602.0648,356205.6381,373867.5006,395776.1584,410031.8196,424364.3182,439217.9634,454921.8055,471689.349,489618.8105,508692.9716,528779.3131,549629.6263,570880.5901,570880.5901,570880.5901,570880.5901,570880.5901,570880.5901
3/13/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,0,18532.15191,43058.99163,68027.73417,96212.45944,110776.8774,124171.0437,137065.0823,150129.1626,162590.946,176561.6502,189654.0348,201650.1984,212784.7231,223781.6886,243770.2519,260472.1281,276759.4483,293193.7319,308549.4182,326022.7552,346380.7802,365414.9344,383488.6507,405734.6241,420273.1759,434895.7115,450046.8693,466056.0322,483137.0342,501388.4233,520793.3122,541219.5143,562419.1486,584029.2264,584029.2264,584029.2264,584029.2264,584029.2264,584029.2264
3/14/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,0,21705.43711,46277.92705,71254.50227,99405.81463,114227.2852,127885.2363,141049.7913,154391.1204,167238.7263,181563.6544,194955.266,207206.2998,218561.9804,229796.3535,250225.6287,267312.3869,283948.5622,300715.4802,316522.475,334330.9461,355087.0382,374541.0065,393015.102,415590.6815,430414.9722,445328.0107,460774.7651,477084.9505,494472.7304,513036.9846,532761.1565,553513.3921,575046.1384,596996.7388,596996.7388,596996.7388,596996.7388,596996.7388,596996.7388
3/15/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,781.033141,24862.52189,49477.81525,74459.88015,102575.922,117651.7248,131570.74,145003.0909,158618.9482,171856.7734,186528.856,200213.9535,212715.4443,224289.1958,235758.1088,256625.3479,274095.7678,291081.1054,308182.4931,324439.7227,342574.2482,363718.6196,383581.9068,402445.1781,425343.4703,440456.2909,455660.2412,471400.6189,488007.4713,505695.2916,524563.291,544595.2441,565659.629,587509.2209,609781.6956,609781.6956,609781.6956,609781.6956,609781.6956,609781.6956
3/16/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,3847.789074,28003.07358,52658.38162,77643.65124,105722.708,121050.1224,135227.4813,148924.9076,162812.5725,176443.9546,191456.1975,205429.1144,218176.7241,229965.5364,241666.0405,262968.3457,280821.0571,298155.7146,315593.2572,332298.5172,350750.2887,372273.4234,392535.8052,411777.3206,434992.1492,450396.2337,465891.4476,481923.4182,498822.5251,516803.5909,535966.1587,556294.3337,577656.9268,599807.0408,622382.6841,622382.6841,622382.6841,622382.6841,622382.6841,622382.6841
3/17/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,6900.918495,31126.76429,55819.35633,80805.60378,108846.0992,124422.4047,138855.3867,152815.1678,166971.9199,180999.1749,196344.6584,210599.8034,223589.2688,235590.2068,247519.2822,269253.6057,287487.0886,305171.0738,322946.3066,340096.3323,358856.8128,380749.4659,401400.9898,421010.0887,444535.8966,460233.9218,476020.6939,492342.1698,509529.0614,527796.5209,547244.423,567857.2038,589504.0064,611938.262,634798.3113,634798.3113,634798.3113,634798.3113,634798.3113,634798.3113
3/18/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,9940.040251,34233.27092,58960.47434,83945.53079,111946.0221,127768.4981,142454.3826,156673.798,171096.9167,185521.3763,201193.2559,215725.1127,228952.2454,241162.4489,253317.0148,275480.159,294092.7435,312125.9141,330240.2228,347830.7594,366891.6833,389144.8814,410175.8661,430142.1594,453973.9101,469968.4956,486047.0634,502655.8999,520126.0494,538672.9935,558396.9386,579282.6519,601199.6084,623901.5679,647027.2032,647027.2032,647027.2032,647027.2032,647027.2032,647027.2032
3/19/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,12964.77798,37322.27517,62081.47542,87063.23008,115022.4031,131088.3291,146024.3956,160500.7248,175187.4896,190009.5384,206001.0446,220804.1715,234264.8581,246681.542,259058.4663,281647.0838,300636.9503,319019.0144,337473.6346,355499.508,374852.8811,397457.9221,418858.9578,439172.3278,463305.4066,479599.1149,495969.6587,512863.654,530612.4773,549431.9399,569422.5797,590569.4948,612742.4926,635695.6611,659068.0053,659068.0053,659068.0053,659068.0053,659068.0053,659068.0053
3/20/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,15974.76011,40393.46354,65182.10411,90158.50429,118075.1687,134381.8242,149565.3523,164295.8746,179243.5649,194462.6783,210767.1163,225836.1468,239526.3489,252146.8027,264742.9125,287753.5061,307118.6849,325849.2007,344645.2183,363100.405,382738.5046,405686.9578,427448.906,448099.5063,472529.6224,489124.9588,505787.6019,522964.4969,540987.3528,560072.3106,580320.2396,601716.569,624131.438,647319.2635,670919.3825,670919.3825,670919.3825,670919.3825,670919.3825,670919.3825
