Date,0,100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000
2/7/2011 0:00,70000,70000,70000,70000,70000,70000,70000,70000,70000,81044.88898,104824.9915,125293.7026,153214.8203,177623.2151,209179.5057,249874.7024,294462.2951,344703.8338,404044.4531,472279.7179,540212.6915,540212.6915,540212.6915,540212.6915,540212.6915,540212.6915,540212.6915,540212.6915,540212.6915,540212.6915,540212.6915
2/8/2011 0:00,70000,70000,70000,70000,70000,70000,70000,70000,70000,86280.10899,110400.9503,131521.6821,160038.1808,184844.1559,217329.5228,258762.1895,303920.9304,354600.3353,414246.6272,482584.8016,550235.9858,550235.9858,550235.9858,550235.9858,550235.9858,550235.9858,550235.9858,550235.9858,550235.9858,550235.9858,550235.9858
2/9/2011 0:00,70000,70000,70000,70000,70000,70000,70000,70000,73683.63448,91444.62148,115957.1245,137729.6646,166840.2538,192065.9709,225457.1151,267601.636,313301.7132,364383.3679,424292.5734,492682.6883,559992.1071,559992.1071,559992.1071,559992.1071,559992.1071,559992.1071,559992.1071,559992.1071,559992.1071,559992.1071,559992.1071
2/10/2011 0:00,70000,70000,70000,70000,70000,70000,70000,70000,78163.46426,96539.07599,121490.9212,143914.7678,173617.8679,199287.7136,233560.608,276391.1375,322602.9775,374051.9416,434182.3852,502574.9324,569484.4172,569484.4172,569484.4172,569484.4172,569484.4172,569484.4172,569484.4172,569484.4172,569484.4172,569484.4172,569484.4172
2/11/2011 0:00,70000,70000,70000,70000,70000,70000,70000,70000,82571.77049,101564.1015,126999.7945,150074.1566,180367.8987,206507.8381,241637.8012,285128.3261,331822.6442,383604.6924,443915.8093,512262.756,578715.9491,578715.9491,578715.9491,578715.9491,578715.9491,578715.9491,578715.9491,578715.9491,578715.9491,578715.9491,578715.9491
2/12/2011 0:00,70000,70000,70000,70000,70000,70000,70000,70000,86909.4721,106520.3066,132481.2457,156205.0432,187087.2692,213724.2511,249686.0194,293810.4195,340958.2685,393039.9268,453492.2875,521747.0902,587689.4457,587689.4457,587689.4457,587689.4457,587689.4457,587689.4457,587689.4457,587689.4457,587689.4457,587689.4457,587689.4457
2/13/2011 0:00,70000,70000,70000,70000,70000,70000,70000,73496.00508,91177.46751,111408.2793,137932.8233,162304.6869,193772.9495,220934.3626,257702.1609,302434.2674,350007.0841,402355.6654,462910.999,531028.6141,596407.3977,596407.3977,596407.3977,596407.3977,596407.3977,596407.3977,596407.3977,596407.3977,596407.3977,596407.3977,596407.3977
2/14/2011 0:00,70000,70000,70000,70000,70000,70000,70000,77284.85764,95376.63465,116228.587,143352.1231,168370.3942,200421.9569,228135.135,265682.7447,310996.3968,358966.0474,411549.6838,472170.8993,540107.7931,604872.0796,604872.0796,604872.0796,604872.0796,604872.0796,604872.0796,604872.0796,604872.0796,604872.0796,604872.0796,604872.0796
2/15/2011 0:00,70000,70000,70000,70000,70000,70000,70000,80998.09593,99507.83093,120981.7769,148736.788,174399.5188,207031.356,235323.1299,273623.9562,319493.056,367831.8784,420619.5533,481270.7588,548984.9147,613085.5837,613085.5837,613085.5837,613085.5837,613085.5837,613085.5837,613085.5837,613085.5837,613085.5837,613085.5837,613085.5837
2/16/2011 0:00,70000,70000,70000,70000,70000,70000,70000,84636.86729,103571.8933,125668.3753,154084.5081,180389.4617,213598.2584,242494.5543,281521.6903,327920.2559,376601.1014,429562.6782,490209.1987,557660.1231,621049.8532,621049.8532,621049.8532,621049.8532,621049.8532,621049.8532,621049.8532,621049.8532,621049.8532,621049.8532,621049.8532
2/17/2011 0:00,70000,70000,70000,70000,70000,70000,72271.37238,88202.29854,107569.6381,130288.8885,159393.0208,186337.671,220119.823,249645.3041,289371.5942,336273.8108,385270.0834,438376.3331,498984.726,566133.4523,628766.713,628766.713,628766.713,628766.713,628766.713,628766.713,628766.713,628766.713,628766.713,628766.713,628766.713
2/18/2011 0:00,70000,70000,70000,70000,70000,70000,75497.0745,91695.49601,111501.8614,134843.8018,164660.1106,192241.6419,226593.2561,256771.0067,297169.1077,344549.3769,393835.0704,447057.6975,507595.7666,574404.8571,636237.899,636237.899,636237.899,636237.899,636237.899,636237.899,636237.899,636237.899,636237.899,636237.899,636237.899
2/19/2011 0:00,70000,70000,70000,70000,70000,70000,78638.43643,95117.54552,115369.3385,139333.5803,169883.6091,198098.9171,233015.8107,263867.0618,304909.5019,352742.4889,402292.223,455603.8891,516040.6967,582474.2427,643465.086,643465.086,643465.086,643465.086,643465.086,643465.086,643465.086,643465.086,643465.086,643465.086,643465.086
2/20/2011 0:00,70000,70000,70000,70000,70000,70000,81696.83389,98469.5124,119172.8244,143758.6684,175061.3954,203907.0861,239384.7875,270928.6802,312587.9165,360848.596,410637.6497,464011.9957,524317.8722,590341.4927,650449.9136,650449.9136,650449.9136,650449.9136,650449.9136,650449.9136,650449.9136,650449.9136,650449.9136,650449.9136,650449.9136
