
---------- TRIAL1.TXT
Warning hlsi_pc -0.105042016806723  hyd0:9.52  hyd1: 9.51
Warning swbi_qd 2.95275590551181  hyd0:5.08  hyd1: 5.23317708333333
Warning spdi_wy 3.28638497652582  hyd0:6.39  hyd1: 6.60340909090909
Warning spdi_wm 7238139.13043478  hyd0:13.8  hyd1: 998877
Warning keti_pc -0.341296928327645  hyd0:2.93  hyd1: 2.92
Warning jcto_qj 0.174064403829417  hyd0:11.49  hyd1: 11.5072916666667
Warning crmi_mm -0.100351229302559  hyd0:39.86  hyd1: 39.8229166666667
Warning grsi_pc -0.0744601638123604  hyd0:13.43  hyd1: 13.42
Warning dano_mm -0.0613120784794605  hyd0:48.93  hyd1: 48.9
Warning riwi_mm -0.160919540229885  hyd0:43.5  hyd1: 43.43125
Warning bnwi_mm -0.155803687353934  hyd0:38.51  hyd1: 38.453125
Warning bnwi_pc -27.468823727671  hyd0:29.67  hyd1: 21.52
Warning wcci_qj -3.2258064516129  hyd0:0.31  hyd1: 0.304583333333333
Warning owyn_mm -0.0770861437656581  hyd0:51.89  hyd1: 51.853125
Warning owyn_pc -0.102249488752556  hyd0:9.78  hyd1: 9.77
Warning bul_pc -0.13262599469496  hyd0:7.54  hyd1: 7.53
Warning fis_mm 0.0927643784786642  hyd0:43.12  hyd1: 43.1569791666667
Warning nfbo_qj 1.34408602150538  hyd0:11.16  hyd1: 11.3055208333333
Warning ccr_mm 0.0650336006936917  hyd0:46.13  hyd1: 46.15625
Warning ebco_mm -0.0877808988764045  hyd0:56.96  hyd1: 56.9129166666667
Warning mocn_mm -0.0518672199170125  hyd0:38.56  hyd1: 38.54375
Warning balo_mm -0.124120810922631  hyd0:48.34  hyd1: 48.2760416666667
Warning crpo_mm 0.0838574423480084  hyd0:47.7  hyd1: 47.7360416666667
Warning crpo_qd -0.115874855156431  hyd0:8.63  hyd1: 8.61770833333333
Warning etni_qj 0.061705541157596  hyd0:162.06  hyd1: 162.15625
Warning cmo_mm -0.0861697544161999  hyd0:46.42  hyd1: 46.384375
Warning rsa_qd 0.284900284900285  hyd0:3.51  hyd1: 3.52041666666667
