yyyyMMMdd hhmm cbtt     PC        NewValue   OldValue   Flag user:hydromet # DECODES output
2015JAN20 1215 MABO     GH        2.37       998877.00  -01
2015JAN20 1200 MABO     GH        2.37       998877.00  -01
2015JAN20 1145 MABO     GH        2.38       998877.00  -01
2015JAN20 1130 MABO     GH        2.43       998877.00  -01
2015JAN20 1115 MABO     GH        2.45       998877.00  -01
2015JAN20 1100 MABO     GH        2.46       998877.00  -01
2015JAN20 1045 MABO     GH        2.47       998877.00  -01
2015JAN20 1230 MABO     WF        34.60      998877.00  -01
2015JAN20 1215 MABO     WF        34.50      998877.00  -01
2015JAN20 1200 MABO     WF        34.30      998877.00  -01
2015JAN20 1145 MABO     WF        33.70      998877.00  -01
2015JAN20 1130 MABO     WF        33.80      998877.00  -01
2015JAN20 1115 MABO     WF        33.60      998877.00  -01
2015JAN20 1100 MABO     WF        33.60      998877.00  -01
2015JAN20 1045 MABO     WF        33.70      998877.00  -01
2015JAN20 1200 MABO     BATVOLT   12.94      998877.00  -01
2015JAN20 1130 MABO     GH        2.43       998877.00  -01
2015JAN20 1115 MABO     GH        2.45       998877.00  -01
2015JAN20 1100 MABO     GH        2.46       998877.00  -01
2015JAN20 1045 MABO     GH        2.47       998877.00  -01
2015JAN20 1030 MABO     GH        2.47       998877.00  -01
2015JAN20 1015 MABO     GH        2.47       998877.00  -01
2015JAN20 1000 MABO     GH        2.47       998877.00  -01
2015JAN20 0945 MABO     GH        2.48       998877.00  -01
2015JAN20 1130 MABO     WF        33.80      998877.00  -01
2015JAN20 1115 MABO     WF        33.60      998877.00  -01
2015JAN20 1100 MABO     WF        33.60      998877.00  -01
2015JAN20 1045 MABO     WF        33.70      998877.00  -01
2015JAN20 1030 MABO     WF        33.70      998877.00  -01
2015JAN20 1015 MABO     WF        33.70      998877.00  -01
2015JAN20 1000 MABO     WF        33.60      998877.00  -01
2015JAN20 0945 MABO     WF        33.50      998877.00  -01
2015JAN20 1100 MABO     BATVOLT   12.94      998877.00  -01
2015JAN20 1030 MABO     GH        2.47       998877.00  -01
2015JAN20 1015 MABO     GH        2.47       998877.00  -01
2015JAN20 1000 MABO     GH        2.47       998877.00  -01
2015JAN20 0945 MABO     GH        2.48       998877.00  -01
2015JAN20 0930 MABO     GH        2.48       998877.00  -01
2015JAN20 0915 MABO     GH        2.48       998877.00  -01
2015JAN20 0900 MABO     GH        2.48       998877.00  -01
2015JAN20 0845 MABO     GH        2.48       998877.00  -01
2015JAN20 1030 MABO     WF        33.70      998877.00  -01
2015JAN20 1015 MABO     WF        33.70      998877.00  -01
2015JAN20 1000 MABO     WF        33.60      998877.00  -01
2015JAN20 0945 MABO     WF        33.50      998877.00  -01
2015JAN20 0930 MABO     WF        33.50      998877.00  -01
2015JAN20 0915 MABO     WF        33.50      998877.00  -01
2015JAN20 0900 MABO     WF        33.50      998877.00  -01
2015JAN20 0845 MABO     WF        33.60      998877.00  -01
2015JAN20 1000 MABO     BATVOLT   12.47      998877.00  -01
2015JAN20 0930 MABO     GH        2.48       998877.00  -01
2015JAN20 0915 MABO     GH        2.48       998877.00  -01
2015JAN20 0900 MABO     GH        2.48       998877.00  -01
2015JAN20 0845 MABO     GH        2.48       998877.00  -01
2015JAN20 0830 MABO     GH        2.48       998877.00  -01
2015JAN20 0815 MABO     GH        2.48       998877.00  -01
2015JAN20 0800 MABO     GH        2.48       998877.00  -01
2015JAN20 0745 MABO     GH        2.48       998877.00  -01
2015JAN20 0930 MABO     WF        33.50      998877.00  -01
2015JAN20 0915 MABO     WF        33.50      998877.00  -01
2015JAN20 0900 MABO     WF        33.50      998877.00  -01
2015JAN20 0845 MABO     WF        33.60      998877.00  -01
2015JAN20 0830 MABO     WF        33.50      998877.00  -01
2015JAN20 0815 MABO     WF        33.50      998877.00  -01
2015JAN20 0800 MABO     WF        33.60      998877.00  -01
2015JAN20 0745 MABO     WF        33.50      998877.00  -01
2015JAN20 0900 MABO     BATVOLT   12.24      998877.00  -01
2015JAN20 0830 MABO     GH        2.48       998877.00  -01
2015JAN20 0815 MABO     GH        2.48       998877.00  -01
2015JAN20 0800 MABO     GH        2.48       998877.00  -01
2015JAN20 0745 MABO     GH        2.48       998877.00  -01
2015JAN20 0730 MABO     GH        2.48       998877.00  -01
2015JAN20 0715 MABO     GH        2.48       998877.00  -01
2015JAN20 0700 MABO     GH        2.48       998877.00  -01
2015JAN20 0645 MABO     GH        2.49       998877.00  -01
2015JAN20 0830 MABO     WF        33.50      998877.00  -01
2015JAN20 0815 MABO     WF        33.50      998877.00  -01
2015JAN20 0800 MABO     WF        33.60      998877.00  -01
2015JAN20 0745 MABO     WF        33.50      998877.00  -01
2015JAN20 0730 MABO     WF        33.50      998877.00  -01
2015JAN20 0715 MABO     WF        33.50      998877.00  -01
2015JAN20 0700 MABO     WF        33.50      998877.00  -01
2015JAN20 0645 MABO     WF        33.50      998877.00  -01
2015JAN20 0800 MABO     BATVOLT   12.24      998877.00  -01
2015JAN20 0730 MABO     GH        2.48       998877.00  -01
2015JAN20 0715 MABO     GH        2.48       998877.00  -01
2015JAN20 0700 MABO     GH        2.48       998877.00  -01
2015JAN20 0645 MABO     GH        2.49       998877.00  -01
2015JAN20 0630 MABO     GH        2.49       998877.00  -01
2015JAN20 0615 MABO     GH        2.49       998877.00  -01
2015JAN20 0600 MABO     GH        2.49       998877.00  -01
2015JAN20 0545 MABO     GH        2.49       998877.00  -01
2015JAN20 0730 MABO     WF        33.50      998877.00  -01
2015JAN20 0715 MABO     WF        33.50      998877.00  -01
2015JAN20 0700 MABO     WF        33.50      998877.00  -01
2015JAN20 0645 MABO     WF        33.50      998877.00  -01
2015JAN20 0630 MABO     WF        33.50      998877.00  -01
2015JAN20 0615 MABO     WF        33.50      998877.00  -01
2015JAN20 0600 MABO     WF        33.50      998877.00  -01
2015JAN20 0545 MABO     WF        33.60      998877.00  -01
2015JAN20 0700 MABO     BATVOLT   12.24      998877.00  -01
2015JAN20 0630 MABO     GH        2.49       998877.00  -01
2015JAN20 0615 MABO     GH        2.49       998877.00  -01
2015JAN20 0600 MABO     GH        2.49       998877.00  -01
2015JAN20 0545 MABO     GH        2.49       998877.00  -01
2015JAN20 0530 MABO     GH        2.49       998877.00  -01
2015JAN20 0515 MABO     GH        2.49       998877.00  -01
2015JAN20 0500 MABO     GH        2.49       998877.00  -01
2015JAN20 0445 MABO     GH        2.49       998877.00  -01
2015JAN20 0630 MABO     WF        33.50      998877.00  -01
2015JAN20 0615 MABO     WF        33.50      998877.00  -01
2015JAN20 0600 MABO     WF        33.50      998877.00  -01
2015JAN20 0545 MABO     WF        33.60      998877.00  -01
2015JAN20 0530 MABO     WF        33.50      998877.00  -01
2015JAN20 0515 MABO     WF        33.50      998877.00  -01
2015JAN20 0500 MABO     WF        33.60      998877.00  -01
2015JAN20 0445 MABO     WF        33.60      998877.00  -01
2015JAN20 0600 MABO     BATVOLT   12.24      998877.00  -01
2015JAN20 0530 MABO     GH        2.49       998877.00  -01
2015JAN20 0515 MABO     GH        2.49       998877.00  -01
2015JAN20 0500 MABO     GH        2.49       998877.00  -01
2015JAN20 0445 MABO     GH        2.49       998877.00  -01
2015JAN20 0430 MABO     GH        2.49       998877.00  -01
2015JAN20 0415 MABO     GH        2.50       998877.00  -01
2015JAN20 0400 MABO     GH        2.50       998877.00  -01
2015JAN20 0345 MABO     GH        2.51       998877.00  -01
2015JAN20 0530 MABO     WF        33.50      998877.00  -01
2015JAN20 0515 MABO     WF        33.50      998877.00  -01
2015JAN20 0500 MABO     WF        33.60      998877.00  -01
2015JAN20 0445 MABO     WF        33.60      998877.00  -01
2015JAN20 0430 MABO     WF        33.50      998877.00  -01
2015JAN20 0415 MABO     WF        33.50      998877.00  -01
2015JAN20 0400 MABO     WF        33.60      998877.00  -01
