cbtt,station_id,Name,Basin
,14207500,"TUALATIN R AT WEST LINN, OR",Willamette
,10366000,"TWENTYMILE CR NR ADEL, OR",Goose & Summer Lake
,10371500,"DEEP CR AB ADEL, OR",Goose & Summer Lake
,10378500,"HONEY CR NR PLUSH, OR",Goose & Summer Lake
,10384000,"CHEWAUCAN R NR PAISLEY, OR",Goose & Summer Lake
,10388800,"THOMPSON VALLEY RES NR SILVER LAKE, OR",Goose & Summer Lake
,10393500,"SILVIES R NR BURNS, OR",Malheur Lake
,10396000,"DONNER UND BLITZEN R NR FRENCHGLEN, OR",Malheur Lake
,10403400,SILVER CR BL NICOLL CR NR RILEY,Malheur Lake
,10406500,"TROUT CR NR DENIO, NV",Malheur Lake
,11338500,"DREWS RES NR LAKEVIEW, OR",Goose & Summer Lake
,11339995,"COTTONWOOD CR AB COTTONWOOD RES NR LAKEVIEW, OR",Goose & Summer Lake
,11340695,"COTTONWOOD CR BL N DREWS CN NR LAKEVIEW, OR",Goose & Summer Lake
,11484200,LOST R AT BONANZA,Klamath
,11484201,BONANZA BIG SPRINGS PARK (GW-SW),Klamath
,11491400,"WILLIAMSON R BL SHEEP CR NR LENZ, OR",Klamath
,11493500,"WILLIAMSON R NR KLAMATH AGENCY, OR",Klamath
,11494950,S FK SPRAGUE R AT SPRAGUE R PARK NR BLY,Klamath
,11495600,S FK SPRAGUE R BL FISHHOLE CR NR BLY,Klamath
,11495900,"N FK SPRAGUE R AB SRIC CN NR BLY, OR",Klamath
,11497550,SPRAGUE R BL BROWN CR NR BEATTY,Klamath
,11499100,"SYCAN R BL SNAKE CR NR BEATTY, OR",Klamath
,11500500,SPRAGUE R AT LONE PINE,Klamath
,11501000,"SPRAGUE R NR CHILOQUIN, OR",Klamath
,11502500,"WILLIAMSON R BL SPRAGUE R NR CHILOQUIN, OR",Klamath
,11502940,"WOOD R AT DIXON RD NR FORT KLAMATH, OR",Klamath
,11504500,"FOURMILE LAKE NR RECREATION, OR",Klamath
,11505800,"UPPER KLAMATH LAKE AT ROCKY POINT, OR",Klamath
,11505900,"UPPER KLAMATH LAKE AT RATTLESNAKE POINT, OR",Klamath
,11507000,"UPPER KLAMATH LAKE NR KLAMATH FALLS, OR",Klamath
,11507001,UPPER KLAMATH LAKE DAILY WEIGHTED MEAN ELEVATIONS,Klamath
,11507500,"LINK R AT KLAMATH FALLS, OR",Klamath
,11509340,KLAMATH STRAITS DRAIN NEAR WORDEN,Klamath
,11509500,"KLAMATH R AT KENO, OR",Klamath
,11510000,"SPENCER CR NR KENO, OR",Klamath
,11510700,"KLAMATH R BL JOHN CR BOYLE PP NR KENO, OR",Klamath
,11516530,"KLAMATH R BL IRON GATE DAM, CA",Out of State-Part 11
,13214000,"MALHEUR R NR DREWSEY, OR",Malheur
,13273000,"BURNT R NR HEREFORD, OR",Powder
