GOESDEC,ACTIVE, RTCNAME, S_OFV, S_ONV, S_NV, S_TTMODE, S_RTFV, S_OTC, S_TBV, S_DTFMT, S_DTSIZE, S_BID, S_BIDCNT, R_OFV, R_ONV, R_NV, R_TTMODE, R_RTFV, R_OTC, R_TBV, R_DTFMT, R_DTSIZE, R_BID, R_BIDCNT, EDITDATE, OWNER,                                                                                                                                                                                       
ROZW    CH,0,,3,3,16,R,-1,0,-15,T,3,,0,0,0,32,I,0,0,0,,32,,0,25-SEP-2003 13:47:28.14,HYDROMET,                                                                                                                                                                                                                                                                                                                  
RSCW    CH,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:50:17.66,HYDROMET,                                                                                                                                                                                                                                                                                                                     
RZCW    CH,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:50:21.08,HYDROMET,                                                                                                                                                                                                                                                                                                                     
SEXW    CH,1,,4,3,4,R,-4,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,26-MAY-2010 09:11:00.52,HYDROMET,                                                                                                                                                                                                                                                                                                                     
SMPW    SE,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:50:37.94,HYDROMET,                                                                                                                                                                                                                                                                                                                     
SNCW    CH,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:50:39.54,HYDROMET,                                                                                                                                                                                                                                                                                                                     
SOUW    CH,1,,4,3,4,R,-5,0,-15,T,3,,0,2,3,2,I,0,-1,-15,T,3,2,1,16-JUL-2010 15:23:56.83,HYDROMET,                                                                                                                                                                                                                                                                                                                
SUCW    DO,0,,15,18,16,R,-5,0,-15,T,3,,0,2,3,2,I,0,-1,-15,T,3,2,1,09-MAY-2000 14:06:29.52,HYDROMET,                                                                                                                                                                                                                                                                                                             
SUCW    GH,1,,4,3,4,R,-5,0,-15,T,3,,0,2,3,2,I,0,-1,-15,T,3,2,1,30-JUL-2010 07:26:55.90,HYDROMET,                                                                                                                                                                                                                                                                                                                
SUCW    PH,0,,18,18,16,R,-5,0,-15,T,3,,0,2,3,2,I,0,-1,-15,T,3,2,1,09-MAY-2000 14:06:13.57,HYDROMET,                                                                                                                                                                                                                                                                                                             
SUCW    WC,0,,6,18,16,R,-5,0,-15,T,3,,0,2,3,2,I,0,-1,-15,T,3,2,1,09-MAY-2000 14:06:17.54,HYDROMET,                                                                                                                                                                                                                                                                                                              
SUCW    WE,0,,12,18,16,R,-5,0,-15,T,3,,0,2,3,2,I,0,-1,-15,T,3,2,1,09-MAY-2000 14:06:21.27,HYDROMET,                                                                                                                                                                                                                                                                                                             
SUCW    WJ,0,,9,18,16,R,-5,0,-15,T,3,,0,2,3,2,I,0,-1,-15,T,3,2,1,09-MAY-2000 14:06:25.23,HYDROMET,                                                                                                                                                                                                                                                                                                              
SWLW    GH,1,,3,3,16,R,-8,0,-15,B,3,,0,0,0,0,I,0,0,0,,0,,0,16-FEB-1996 12:00:02.89,EWAECHTER,                                                                                                                                                                                                                                                                                                                   
TCBW    GH,1,,4,9,24,R,-10,0,-15,T,3,,0,2,3,3,I,0,-1,-15,B,3,D,1,31-MAR-2009 13:01:23.92,HYDROMET,                                                                                                                                                                                                                                                                                                              
TEAW    GH,1,,4,3,4,R,-4,0,-15,T,3,,0,2,3,2,I,0,-1,-15,B,3,2,1,16-NOV-2010 14:07:54.18,HYDROMET,                                                                                                                                                                                                                                                                                                                
