Bureau of Reclamation Hydromet System
Rating Table Expansion
Station GCL - Grand Coulee Dam, WA
Parameter AF - Reservoir Storage - Acre-Feet
Table Description: October 1977 Table 
Units are: AF 
Dependent Variable: Forebay Elevation - Feet - Hourly Average
Interpolation Type: Storage from Linear Res Area 
Rating shift adjustments have NOT been applied to this table. 
Table Edit Date: 8-DEC-2006 15:17
Today's Date: 28-FEB-2013 15:46 


 BEGIN TABLE
 FT   ,AF   
 1214.34, 296129
 1214.35, 296609
 1214.36, 297088
 1214.37, 297568
 1214.38, 298048
 1214.39, 298528
 1214.40, 299008
 1214.41, 299482
 1214.42, 299962
 1214.43, 300442
 1214.44, 300922
 1214.45, 301402
 1214.46, 301882
 1214.47, 302362
 1214.48, 302842
 1214.49, 303322
 1214.50, 303803
 1214.51, 304283
 1214.52, 304763
 1214.53, 305244
 1214.54, 305718
 1214.55, 306199
 1214.56, 306679
 1214.57, 307160
 1214.58, 307640
 1214.59, 308121
 1214.60, 308602
 1214.61, 309082
 1214.62, 309563
 1214.63, 310044
 1214.64, 310525
 1214.65, 311005
 1214.66, 311480
 1214.67, 311961
 1214.68, 312442
 1214.69, 312923
 1214.70, 313404
 1214.71, 313886
 1214.72, 314367
 1214.73, 314848
 1214.74, 315329
 1214.75, 315810
 1214.76, 316292
 1214.77, 316773
 1214.78, 317254
 1214.79, 317730
 1214.80, 318211
 1214.81, 318693
 1214.82, 319174
 1214.83, 319656
 1214.84, 320137
 1214.85, 320619
 1214.86, 321101
 1214.87, 321582
 1214.88, 322064
 1214.89, 322546
 1214.90, 323028
 1214.91, 323504
 1214.92, 323986
 1214.93, 324468
 1214.94, 324950
 1214.95, 325432
 1214.96, 325914
 1214.97, 326396
 1214.98, 326878
 1214.99, 327360
 1215.00, 327845
 1215.01, 328327
 1215.02, 328810
 1215.03, 329292
 1215.04, 329768
 1215.05, 330251
 1215.06, 330733
 1215.07, 331216
 1215.08, 331698
 1215.09, 332181
 1215.10, 332664
 1215.11, 333146
 1215.12, 333629
 1215.13, 334112
 1215.14, 334595
 1215.15, 335077
 1215.16, 335554
 1215.17, 336037
 1215.18, 336520
 1215.19, 337003
 1215.20, 337486
 1215.21, 337969
 1215.22, 338452
 1215.23, 338935
 1215.24, 339419
 1215.25, 339902
 1215.26, 340385
 1215.27, 340868
 1215.28, 341352
 1215.29, 341829
 1215.30, 342313
 1215.31, 342796
 1215.32, 343280
 1215.33, 343763
 1215.34, 344247
 1215.35, 344730
 1215.36, 345214
 1215.37, 345698
 1215.38, 346181
 1215.39, 346665
 1215.40, 347149
 1215.41, 347627
 1215.42, 348111
 1215.43, 348595
 1215.44, 349079
 1215.45, 349563
 1215.46, 350047
 1215.47, 350531
 1215.48, 351015
 1215.49, 351499
 1215.50, 351983
 1215.51, 352468
 1215.52, 352952
 1215.53, 353436
 1215.54, 353915
 1215.55, 354399
 1215.56, 354883
 1215.57, 355368
 1215.58, 355852
 1215.59, 356337
 1215.60, 356822
 1215.61, 357306
 1215.62, 357791
 1215.63, 358276
 1215.64, 358760
 1215.65, 359245
 1215.66, 359724
 1215.67, 360209
 1215.68, 360694
 1215.69, 361179
 1215.70, 361664
 1215.71, 362149
 1215.72, 362634
 1215.73, 363119
 1215.74, 363604
 1215.75, 364089
 1215.76, 364575
 1215.77, 365060
 1215.78, 365545
 1215.79, 366025
 1215.80, 366510
 1215.81, 366995
 1215.82, 367481
 1215.83, 367966
 1215.84, 368452
 1215.85, 368937
 1215.86, 369423
 1215.87, 369909
 1215.88, 370394
 1215.89, 370880
 1215.90, 371366
 1215.91, 371846
 1215.92, 372332
 1215.93, 372818
 1215.94, 373304
 1215.95, 373790
 1215.96, 374276
 1215.97, 374762
 1215.98, 375248
 1215.99, 375734
 1216.00, 376221
 1216.01, 376707
 1216.02, 377193
 1216.03, 377680
 1216.04, 378160
 1216.05, 378647
 1216.06, 379133
 1216.07, 379619
 1216.08, 380106
 1216.09, 380592
 1216.10, 381079
 1216.11, 381566
 1216.12, 382052
 1216.13, 382539
 1216.14, 383026
 1216.15, 383512
 1216.16, 383993
 1216.17, 384480
 1216.18, 384967
 1216.19, 385454
 1216.20, 385941
 1216.21, 386428
 1216.22, 386915
 1216.23, 387402
 1216.24, 387889
 1216.25, 388376
 1216.26, 388864
 1216.27, 389351
 1216.28, 389838
 1216.29, 390319
 1216.30, 390807
 1216.31, 391294
 1216.32, 391782
 1216.33, 392269
 1216.34, 392757
 1216.35, 393244
 1216.36, 393732
 1216.37, 394219
 1216.38, 394707
 1216.39, 395195
 1216.40, 395683
 1216.41, 396164
 1216.42, 396652
 1216.43, 397140
 1216.44, 397628
 1216.45, 398116
 1216.46, 398604
 1216.47, 399092
 1216.48, 399580
 1216.49, 400068
 1216.50, 400556
 1216.51, 401045
 1216.52, 401533
 1216.53, 402021
 1216.54, 402503
 1216.55, 402992
 1216.56, 403480
 1216.57, 403969
 1216.58, 404457
 1216.59, 404946
 1216.60, 405434
 1216.61, 405923
 1216.62, 406411
 1216.63, 406900
 1216.64, 407389
 1216.65, 407877
 1216.66, 408360
 1216.67, 408849
 1216.68, 409338
 1216.69, 409827
 1216.70, 410316
 1216.71, 410805
 1216.72, 411294
 1216.73, 411783
 1216.74, 412272
 1216.75, 412761
 1216.76, 413250
 1216.77, 413740
 1216.78, 414229
 1216.79, 414712
 1216.80, 415201
 1216.81, 415691
 1216.82, 416180
 1216.83, 416670
 1216.84, 417159
 1216.85, 417649
 1216.86, 418138
 1216.87, 418628
 1216.88, 419118
 1216.89, 419607
 1216.90, 420097
 1216.91, 420581
 1216.92, 421071
 1216.93, 421560
 1216.94, 422050
 1216.95, 422540
 1216.96, 423030
 1216.97, 423520
 1216.98, 424010
 1216.99, 424500
 1217.00, 424992
 1217.01, 425482
 1217.02, 425972
 1217.03, 426463
 1217.04, 426947
 1217.05, 427437
 1217.06, 427928
 1217.07, 428418
 1217.08, 428908
 1217.09, 429399
 1217.10, 429890
 1217.11, 430380
 1217.12, 430871
 1217.13, 431361
 1217.14, 431852
 1217.15, 432343
 1217.16, 432828
 1217.17, 433318
 1217.18, 433809
 1217.19, 434300
 1217.20, 434791
 1217.21, 435282
 1217.22, 435773
 1217.23, 436264
 1217.24, 436755
 1217.25, 437246
 1217.26, 437737
 1217.27, 438229
 1217.28, 438720
 1217.29, 439205
 1217.30, 439696
 1217.31, 440188
 1217.32, 440679
 1217.33, 441171
 1217.34, 441662
 1217.35, 442154
 1217.36, 442645
 1217.37, 443137
 1217.38, 443628
 1217.39, 444120
 1217.40, 444612
 1217.41, 445098
 1217.42, 445589
 1217.43, 446081
 1217.44, 446573
 1217.45, 447065
 1217.46, 447557
 1217.47, 448049
 1217.48, 448541
 1217.49, 449033
 1217.50, 449525
 1217.51, 450017
 1217.52, 450509
 1217.53, 451002
 1217.54, 451488
 1217.55, 451980
 1217.56, 452473
 1217.57, 452965
 1217.58, 453457
 1217.59, 453950
 1217.60, 454442
 1217.61, 454935
 1217.62, 455428
 1217.63, 455920
 1217.64, 456413
 1217.65, 456906
 1217.66, 457392
 1217.67, 457885
 1217.68, 458378
 1217.69, 458871
 1217.70, 459364
 1217.71, 459857
 1217.72, 460350
 1217.73, 460843
 1217.74, 461336
 1217.75, 461829
 1217.76, 462322
 1217.77, 462815
 1217.78, 463308
 1217.79, 463796
 1217.80, 464289
 1217.81, 464782
 1217.82, 465276
 1217.83, 465769
 1217.84, 466263
 1217.85, 466756
 1217.86, 467250
 1217.87, 467743
 1217.88, 468237
 1217.89, 468731
 1217.90, 469224
 1217.91, 469712
 1217.92, 470206
 1217.93, 470700
 1217.94, 471193
 1217.95, 471687
 1217.96, 472181
 1217.97, 472675
 1217.98, 473169
 1217.99, 473663
 1218.00, 474159
 1218.01, 474653
 1218.02, 475147
 1218.03, 475642
 1218.04, 476130
 1218.05, 476624
 1218.06, 477118
 1218.07, 477613
 1218.08, 478107
 1218.09, 478602
 1218.10, 479096
 1218.11, 479591
 1218.12, 480085
 1218.13, 480580
 1218.14, 481075
 1218.15, 481569
 1218.16, 482058
 1218.17, 482553
 1218.18, 483048
 1218.19, 483542
 1218.20, 484037
 1218.21, 484532
 1218.22, 485027
 1218.23, 485522
 1218.24, 486017
 1218.25, 486512
 1218.26, 487008
 1218.27, 487503
 1218.28, 487998
 1218.29, 488487
 1218.30, 488983
 1218.31, 489478
 1218.32, 489973
 1218.33, 490469
 1218.34, 490964
 1218.35, 491460
 1218.36, 491955
 1218.37, 492451
 1218.38, 492946
 1218.39, 493442
 1218.40, 493938
 1218.41, 494427
 1218.42, 494923
 1218.43, 495419
 1218.44, 495915
 1218.45, 496411
 1218.46, 496907
 1218.47, 497403
 1218.48, 497899
 1218.49, 498395
 1218.50, 498891
 1218.51, 499387
 1218.52, 499883
 1218.53, 500379
 1218.54, 500870
 1218.55, 501366
 1218.56, 501862
 1218.57, 502359
 1218.58, 502855
 1218.59, 503352
 1218.60, 503848
 1218.61, 504345
 1218.62, 504841
 1218.63, 505338
 1218.64, 505834
 1218.65, 506331
 1218.66, 506822
 1218.67, 507319
 1218.68, 507815
 1218.69, 508312
 1218.70, 508809
 1218.71, 509306
 1218.72, 509803
 1218.73, 510300
 1218.74, 510797
 1218.75, 511294
 1218.76, 511791
 1218.77, 512289
 1218.78, 512786
 1218.79, 513277
 1218.80, 513774
 1218.81, 514272
 1218.82, 514769
 1218.83, 515266
 1218.84, 515764
 1218.85, 516261
 1218.86, 516759
 1218.87, 517256
 1218.88, 517754
 1218.89, 518252
 1218.90, 518749
 1218.91, 519241
 1218.92, 519739
 1218.93, 520237
 1218.94, 520735
 1218.95, 521232
 1218.96, 521730
 1218.97, 522228
 1218.98, 522726
 1218.99, 523224
 1219.00, 523724
 1219.01, 524222
 1219.02, 524720
 1219.03, 525219
 1219.04, 525711
 1219.05, 526209
 1219.06, 526707
 1219.07, 527206
 1219.08, 527704
 1219.09, 528203
 1219.10, 528701
 1219.11, 529200
 1219.12, 529698
 1219.13, 530197
 1219.14, 530696
 1219.15, 531194
 1219.16, 531687
 1219.17, 532186
 1219.18, 532684
 1219.19, 533183
 1219.20, 533682
 1219.21, 534181
 1219.22, 534680
 1219.23, 535179
 1219.24, 535678
 1219.25, 536177
 1219.26, 536676
 1219.27, 537176
 1219.28, 537675
 1219.29, 538168
 1219.30, 538667
 1219.31, 539167
 1219.32, 539666
 1219.33, 540165
 1219.34, 540665
 1219.35, 541164
 1219.36, 541664
 1219.37, 542163
 1219.38, 542663
 1219.39, 543163
 1219.40, 543662
 1219.41, 544156
 1219.42, 544656
 1219.43, 545156
 1219.44, 545656
 1219.45, 546155
 1219.46, 546655
 1219.47, 547155
 1219.48, 547655
 1219.49, 548155
 1219.50, 548656
 1219.51, 549156
 1219.52, 549656
 1219.53, 550156
 1219.54, 550650
 1219.55, 551151
 1219.56, 551651
 1219.57, 552151
 1219.58, 552652
 1219.59, 553152
 1219.60, 553653
 1219.61, 554153
 1219.62, 554654
 1219.63, 555154
 1219.64, 555655
 1219.65, 556156
 1219.66, 556650
 1219.67, 557151
 1219.68, 557652
 1219.69, 558153
 1219.70, 558654
 1219.71, 559155
 1219.72, 559656
 1219.73, 560157
 1219.74, 560658
 1219.75, 561159
 1219.76, 561660
 1219.77, 562161
 1219.78, 562662
 1219.79, 563157
 1219.80, 563659
 1219.81, 564160
 1219.82, 564661
 1219.83, 565163
 1219.84, 565664
 1219.85, 566166
 1219.86, 566667
 1219.87, 567169
 1219.88, 567671
 1219.89, 568172
 1219.90, 568674
 1219.91, 569170
 1219.92, 569671
 1219.93, 570173
 1219.94, 570675
 1219.95, 571177
 1219.96, 571679
 1219.97, 572181
 1219.98, 572683
 1219.99, 573185
 1220.00, 573689
 1220.01, 574191
 1220.02, 574693
 1220.03, 575196
 1220.04, 575692
 1220.05, 576194
 1220.06, 576696
 1220.07, 577199
 1220.08, 577701
 1220.09, 578204
 1220.10, 578706
 1220.11, 579209
 1220.12, 579712
 1220.13, 580214
 1220.14, 580717
 1220.15, 581220
 1220.16, 581717
 1220.17, 582220
 1220.18, 582723
 1220.19, 583226
 1220.20, 583729
 1220.21, 584232
 1220.22, 584735
 1220.23, 585238
 1220.24, 585741
 1220.25, 586245
 1220.26, 586748
 1220.27, 587251
 1220.28, 587755
 1220.29, 588252
 1220.30, 588756
 1220.31, 589259
 1220.32, 589763
 1220.33, 590267
 1220.34, 590770
 1220.35, 591274
 1220.36, 591778
 1220.37, 592282
 1220.38, 592786
 1220.39, 593290
 1220.40, 593794
 1220.41, 594291
 1220.42, 594796
 1220.43, 595300
 1220.44, 595804
 1220.45, 596308
 1220.46, 596812
 1220.47, 597317
 1220.48, 597821
 1220.49, 598326
 1220.50, 598830
 1220.51, 599335
 1220.52, 599839
 1220.53, 600344
 1220.54, 600842
 1220.55, 601347
 1220.56, 601852
 1220.57, 602357
 1220.58, 602861
 1220.59, 603366
 1220.60, 603871
 1220.61, 604376
 1220.62, 604881
 1220.63, 605386
 1220.64, 605892
 1220.65, 606397
 1220.66, 606896
 1220.67, 607401
 1220.68, 607906
 1220.69, 608412
 1220.70, 608917
 1220.71, 609423
 1220.72, 609928
 1220.73, 610434
 1220.74, 610939
 1220.75, 611445
 1220.76, 611951
 1220.77, 612457
 1220.78, 612962
 1220.79, 613462
 1220.80, 613968
 1220.81, 614474
 1220.82, 614980
 1220.83, 615486
 1220.84, 615992
 1220.85, 616498
 1220.86, 617004
 1220.87, 617511
 1220.88, 618017
 1220.89, 618523
 1220.90, 619030
 1220.91, 619530
 1220.92, 620036
 1220.93, 620543
 1220.94, 621050
 1220.95, 621556
 1220.96, 622063
 1220.97, 622570
 1220.98, 623076
 1220.99, 623583
 1221.00, 624089
 1221.01, 624596
 1221.02, 625103
 1221.03, 625610
 1221.04, 626111
 1221.05, 626618
 1221.06, 627125
 1221.07, 627632
 1221.08, 628139
 1221.09, 628647
 1221.10, 629154
 1221.11, 629661
 1221.12, 630169
 1221.13, 630676
 1221.14, 631184
 1221.15, 631692
 1221.16, 632193
 1221.17, 632701
 1221.18, 633208
 1221.19, 633716
 1221.20, 634224
 1221.21, 634732
 1221.22, 635240
 1221.23, 635748
 1221.24, 636256
 1221.25, 636764
 1221.26, 637272
 1221.27, 637780
 1221.28, 638288
 1221.29, 638790
 1221.30, 639299
 1221.31, 639807
