id,seriesid,name,value
478,256,t1,1/1/2010
479,256,t2,5/8/2017
480,256,count,2685
481,257,t1,1/1/2010
482,257,t2,5/8/2017
483,257,count,2685
484,258,t1,1/1/2010
485,258,t2,5/8/2017
486,258,count,2685
487,259,t1,1/1/2010
488,259,t2,5/8/2017
489,259,count,2685
490,260,t1,1/1/2010
491,260,t2,5/8/2017
492,260,count,2685
493,261,t1,1/1/2010
494,261,t2,5/8/2017
495,261,count,2685
499,263,t1,1/1/2010
500,263,t2,5/8/2017
501,263,count,2685
502,264,t1,1/1/2010
503,264,t2,5/8/2017
504,264,count,2685
505,265,t1,1/1/2010
506,265,t2,5/8/2017
507,265,count,2685
508,266,t1,1/1/2010
509,266,t2,5/8/2017
510,266,count,2685
511,267,t1,1/1/2010
512,267,t2,5/8/2017
513,267,count,2685
514,268,t1,1/1/2010
515,268,t2,5/8/2017
516,268,count,2685
517,269,t1,1/1/2010
518,269,t2,5/8/2017
519,269,count,2685
520,270,t1,1/1/2010
521,270,t2,5/8/2017
522,270,count,2685
526,272,t1,1/1/2010
527,272,t2,5/8/2017
528,272,count,2685
529,273,t1,1/1/2010
530,273,t2,5/8/2017
531,273,count,2685
532,274,t1,1/1/2010
533,274,t2,5/8/2017
534,274,count,2685
535,275,t1,1/1/2010
536,275,t2,5/8/2017
537,275,count,2685
538,276,t1,1/1/2010
539,276,t2,5/8/2017
540,276,count,2685
550,280,t1,1/1/2010
551,280,t2,5/8/2017
552,280,count,2685
553,281,t1,1/1/2010
554,281,t2,5/8/2017
555,281,count,2685
556,282,t1,1/1/2010
557,282,t2,5/8/2017
558,282,count,2685
559,283,t1,1/1/2010
560,283,t2,5/8/2017
561,283,count,2685
562,284,t1,1/1/2010
563,284,t2,5/8/2017
564,284,count,2685
568,286,t1,1/1/2010
569,286,t2,5/8/2017
570,286,count,2685
571,287,t1,1/1/2010
572,287,t2,5/8/2017
573,287,count,2685
574,288,t1,1/1/2010
575,288,t2,5/8/2017
576,288,count,2685
577,289,t1,1/1/2010
578,289,t2,5/8/2017
579,289,count,2685
583,291,t1,1/1/2010
584,291,t2,5/8/2017
585,291,count,2685
586,292,t1,1/1/2010
587,292,t2,5/8/2017
588,292,count,2685
592,294,t1,1/1/2010
593,294,t2,5/8/2017
594,294,count,2685
595,295,t1,1/1/2010
596,295,t2,5/8/2017
597,295,count,2685
598,296,t1,1/1/2010
599,296,t2,5/8/2017
600,296,count,2685
601,297,t1,1/1/2010
602,297,t2,5/8/2017
603,297,count,2685
604,298,t1,1/1/2010
605,298,t2,5/8/2017
606,298,count,2685
607,299,t1,1/1/2010
608,299,t2,5/8/2017
609,299,count,2685
610,300,t1,1/1/2010
611,300,t2,5/8/2017
612,300,count,2685
613,301,t1,1/1/2010
614,301,t2,5/8/2017
615,301,count,2685
616,302,t1,1/1/2010
617,302,t2,5/8/2017
618,302,count,2685
622,304,t1,1/1/2010
623,304,t2,5/8/2017
624,304,count,2685
625,305,t1,1/1/2010
626,305,t2,5/8/2017
627,305,count,2685
628,306,t1,1/1/2010
629,306,t2,5/8/2017
630,306,count,2685
631,307,t1,1/1/2010
632,307,t2,5/8/2017
633,307,count,2685
634,308,t1,1/1/2010
635,308,t2,5/8/2017
636,308,count,2685
637,309,t1,1/1/2010
638,309,t2,5/8/2017
639,309,count,2685
640,310,t1,1/1/2010
641,310,t2,5/8/2017
642,310,count,2685
643,311,t1,1/1/2010
644,311,t2,5/8/2017
645,311,count,2685
646,312,t1,1/1/2010
647,312,t2,5/8/2017
648,312,count,2685
649,313,t1,1/1/2010
650,313,t2,5/8/2017
651,313,count,2685
652,314,t1,1/1/2010
653,314,t2,5/8/2017
654,314,count,2685
655,315,t1,1/1/2010
656,315,t2,5/8/2017
657,315,count,2685
658,316,t1,1/1/2010
659,316,t2,5/8/2017
660,316,count,2685
661,317,t1,1/1/2010
662,317,t2,5/8/2017
663,317,count,2685
670,320,t1,1/1/2010
671,320,t2,5/8/2017
672,320,count,2685
673,321,t1,1/1/2010
674,321,t2,5/8/2017
675,321,count,2685
676,322,t1,1/1/2010
677,322,t2,5/8/2017
678,322,count,2685
679,323,t1,1/1/2010
680,323,t2,5/8/2017
681,323,count,2685
682,324,t1,1/1/2010
683,324,t2,5/8/2017
684,324,count,2685
685,325,t1,1/1/2010
686,325,t2,5/8/2017
687,325,count,2685
697,329,t1,1/1/2010
698,329,t2,5/8/2017
699,329,count,2685
700,330,t1,1/1/2010
701,330,t2,5/8/2017
702,330,count,2685
703,331,t1,1/1/2010
704,331,t2,5/8/2017
705,331,count,2685
706,332,t1,1/1/2010
707,332,t2,5/8/2017
708,332,count,2685
709,333,t1,1/1/2010
710,333,t2,5/8/2017
711,333,count,2685
712,334,t1,1/1/2010
713,334,t2,5/8/2017
714,334,count,2685
715,335,t1,1/1/2010
716,335,t2,5/8/2017
717,335,count,2685
718,336,t1,1/1/2010
719,336,t2,5/8/2017
720,336,count,2685
724,338,t1,1/1/2010
725,338,t2,5/8/2017
726,338,count,2685
727,339,t1,1/1/2010
728,339,t2,5/8/2017
729,339,count,2685
730,340,t1,1/1/2010
731,340,t2,5/8/2017
732,340,count,2685
733,341,t1,1/1/2010
734,341,t2,5/8/2017
735,341,count,2685
736,342,t1,1/1/2010
737,342,t2,5/8/2017
738,342,count,2685
739,343,t1,1/1/2010
740,343,t2,5/8/2017
741,343,count,2685
745,345,t1,1/1/2010
746,345,t2,5/8/2017
747,345,count,2685
748,346,t1,1/1/2010
749,346,t2,5/8/2017
750,346,count,2685
751,347,t1,1/1/2010
752,347,t2,5/8/2017
753,347,count,2685
754,348,t1,1/1/2010
755,348,t2,5/8/2017
756,348,count,2685
757,349,t1,1/1/2010
758,349,t2,5/8/2017
759,349,count,2685
760,350,t1,1/1/2010
761,350,t2,5/8/2017
762,350,count,2685
763,351,t1,1/1/2010
764,351,t2,5/8/2017
765,351,count,2685
766,352,t1,1/1/2010
767,352,t2,5/8/2017
768,352,count,2685
769,353,t1,1/1/2010
770,353,t2,5/8/2017
771,353,count,2685
772,354,t1,1/1/2010
773,354,t2,5/8/2017
774,354,count,2685
778,356,t1,1/1/2010
779,356,t2,5/8/2017
780,356,count,2685
781,357,t1,1/1/2010
782,357,t2,5/8/2017
783,357,count,2685
784,358,t1,1/1/2010
785,358,t2,5/8/2017
786,358,count,2685
