A_ID,parentid,isfolder,sortorder,iconname,name,siteid,units,timeinterval,parameter,tablename,provider,connectionstring,expression,notes,enabled
1653,1650,0,1066,sum,efhw_etrs,efhw,,Daily,etrs,daily_efhw_etrs,CalculationSeries,,"DailyEtAscePenmanMontieth(daily_%site%_mm,daily_%site%_mn,daily_%site%_mx,daily_%site%_ym,daily_%site%_wr,3.0,daily_%site%_sr,%site%.latitude,%site%.elevation,0.38,1600.0)",,1
155,132,0,4,,agko_tu,agko,,Irregular,tu,instant_agko_tu,Series,,,,1
156,132,0,5,,agko_tux,agko,,Irregular,tux,instant_agko_tux,Series,,,,1
157,132,0,6,,agko_tun,agko,,Irregular,tun,instant_agko_tun,Series,,,,1
1655,1650,0,1068,sum,efhw_mn,efhw,,Daily,mn,daily_efhw_mn,CalculationSeries,,DailyMin(instant_%site%_obn),,1
1656,1650,0,1069,sum,efhw_mx,efhw,,Daily,mx,daily_efhw_mx,CalculationSeries,,DailyMax(instant_%site%_obx),,1
1657,1650,0,1070,sum,efhw_pc,efhw,,Daily,pc,daily_efhw_pc,CalculationSeries,,DailyMidnight(instant_%site%_pc),,1
1659,1650,0,1072,sum,efhw_pu,efhw,,Daily,pu,daily_efhw_pu,CalculationSeries,,"DailyWaterYearRunningTotal(daily_%site%_pp,daily_%site%_pu)",,1
1662,1650,0,1075,sum,efhw_tg,efhw,,Daily,tg,daily_efhw_tg,CalculationSeries,,"DailyGrowingDegree(instant_%site%_obx,instant_%site%_obn,86.0,50.0)",,1
1699,1686,0,1110,sum,eurn_ua,eurn,,Daily,ua,daily_eurn_ua,CalculationSeries,,"DailyAverage(instant_%site%_ws,92)",,1
1690,1686,0,1101,sum,eurn_mm,eurn,,Daily,mm,daily_eurn_mm,CalculationSeries,,"DailyAverage(instant_%site%_obm,92)",,1
1696,1686,0,1107,sum,eurn_sr,eurn,,Daily,sr,daily_eurn_sr,CalculationSeries,,"DailySum(instant_%site%_si,92)/4.0",,1
1695,1686,0,1106,sum,eurn_pu,eurn,,Daily,pu,daily_eurn_pu,CalculationSeries,,"DailyWaterYearRunningTotal(daily_%site%_pp,daily_%site%_pu)",,1
1694,1686,0,1105,sum,eurn_pp,eurn,,Daily,pp,daily_eurn_pp,CalculationSeries,,daily_%site%_pc-daily_%site%_pc[t-1],,1
15699,5634,1,8510,,wfco,wfco,,,,,,,,,0
1697,1686,0,1108,sum,eurn_ta,eurn,,Daily,ta,daily_eurn_ta,CalculationSeries,,"DailyAverage(instant_%site%_tu,92)",,1
1702,1686,0,1113,sum,eurn_wr,eurn,,Daily,wr,daily_eurn_wr,CalculationSeries,,"DailySum(instant_%site%_ws,92)/4.0",,1
1707,1686,0,1118,sum,eurn_zg,eurn,,Daily,zg,daily_eurn_zg,CalculationSeries,,DailyMin(instant_%site%_zb),,1
1708,1686,0,1119,sum,eurn_zh,eurn,,Daily,zh,daily_eurn_zh,CalculationSeries,,DailyMax(instant_%site%_zb),,1
1703,1686,0,1116,sum,eurn_ym,eurn,,Daily,ym,daily_eurn_ym,CalculationSeries,,"DailyAverage(instant_%site%_tp,92)",,1
12914,10915,1,0,,quality,,,,,,,,,,0
1693,1686,0,1104,sum,eurn_pc,eurn,,Daily,pc,daily_eurn_pc,CalculationSeries,,DailyMidnight(instant_%site%_pc),,1
1711,1686,0,1122,sum,eurn_zm,eurn,,Daily,zm,daily_eurn_zm,CalculationSeries,,"DailyAverage(instant_%site%_za,92)",,1
1706,1686,0,1117,sum,eurn_yw,eurn,,Daily,yw,daily_eurn_yw,CalculationSeries,,"DailyAverage(instant_%site%_sw,92)",,1
1688,1686,0,1099,sum,eurn_etos,eurn,,Daily,etos,daily_eurn_etos,CalculationSeries,,"DailyEtAscePenmanMontieth(daily_%site%_mm,daily_%site%_mn,daily_%site%_mx,daily_%site%_ym,daily_%site%_wr,3.0,daily_%site%_sr,%site%.latitude,%site%.elevation, 0.34,900)",,1
1692,1686,0,1103,sum,eurn_mx,eurn,,Daily,mx,daily_eurn_mx,CalculationSeries,,DailyMax(instant_%site%_obx),,1
1691,1686,0,1102,sum,eurn_mn,eurn,,Daily,mn,daily_eurn_mn,CalculationSeries,,DailyMin(instant_%site%_obn),,1
1689,1686,0,1100,sum,eurn_etrs,eurn,,Daily,etrs,daily_eurn_etrs,CalculationSeries,,"DailyEtAscePenmanMontieth(daily_%site%_mm,daily_%site%_mn,daily_%site%_mx,daily_%site%_ym,daily_%site%_wr,3.0,daily_%site%_sr,%site%.latitude,%site%.elevation,0.38,1600.0)",,1
1687,1686,0,1098,sum,eurn_et,eurn,,Daily,et,daily_eurn_et,CalculationSeries,,"DailyEtKimberlyPenman(daily_%site%_mm,daily_%site%_mn,daily_%site%_mx,daily_%site%_ym,daily_%site%_wr,daily_%site%_sr,%site%.latitude,%site%.elevation)",,1
11003,9172,1,0,,quality,,,,,,,,,,0
1709,1686,0,1120,sum,eurn_zk,eurn,,Daily,zk,daily_eurn_zk,CalculationSeries,,DailyMax(instant_%site%_za),,1
1700,1686,0,1111,sum,eurn_ud,eurn,,Daily,ud,daily_eurn_ud,CalculationSeries,,DailyAzimuth(instant_%site%_wd),,1
1698,1686,0,1109,sum,eurn_tg,eurn,,Daily,tg,daily_eurn_tg,CalculationSeries,,"DailyGrowingDegree(instant_%site%_obx,instant_%site%_obn,86.0,50.0)",,1
1704,1686,0,1114,sum,eurn_xc,eurn,,Daily,xc,daily_eurn_xc,CalculationSeries,,DailyMin(instant_%site%_sw),,1
8897,8892,0,8897,sum,sawo_hj,sawo,cfs,Irregular,hj,instant_sawo_hj,CalculationSeries,,"FileRatingTable(%site%_gh,""%site%_shift.csv"")",,1
9010,9008,1,0,,daily,,,,,,,,,,0
9092,9091,0,1,,fcso_ch,fcso,feet,Irregular,ch,instant_fcso_ch,Series,,,,1
9093,9091,0,1,sum,fcso_qc,fcso,cfs,Irregular,qc,instant_fcso_qc,CalculationSeries,,"FileRatingTable(%site%_ch,""%site%.csv"")",,1
9094,9091,0,1,sum,fcso_hh,fcso,feet,Irregular,hh,instant_fcso_hh,CalculationSeries,,"FileRatingTable(%site%_ch,""%site%_shift.csv"")",,1
158,132,0,7,,agko_ea,agko,,Irregular,ea,instant_agko_ea,Series,,,,1
159,132,0,8,,agko_tp,agko,,Irregular,tp,instant_agko_tp,Series,,,,1
160,132,0,9,,agko_wd,agko,,Irregular,wd,instant_agko_wd,Series,,,,1
161,132,0,10,,agko_ws,agko,,Irregular,ws,instant_agko_ws,Series,,,,1
162,132,0,11,,agko_wg,agko,,Irregular,wg,instant_agko_wg,Series,,,,1
163,132,0,12,,agko_ui,agko,,Irregular,ui,instant_agko_ui,Series,,,,1
164,132,0,13,,agko_sq,agko,,Irregular,sq,instant_agko_sq,Series,,,,1
165,132,0,14,,agko_si,agko,,Irregular,si,instant_agko_si,Series,,,,1
166,132,0,15,,agko_pc,agko,,Irregular,pc,instant_agko_pc,Series,,,,1
168,167,1,0,,instant,,,,,,,,,,0
169,167,1,0,,daily,,,,,,,,,,0
8283,8196,1,127,,daily,,,,,folder2014dec11153851030,,,,,1
1195,1194,1,0,,instant,,,,,,,,,,0
1705,1686,0,1115,sum,eurn_xg,eurn,,Daily,xg,daily_eurn_xg,CalculationSeries,,DailyMax(instant_%site%_sw),,1
1701,1686,0,1112,sum,eurn_wg,eurn,,Daily,wg,daily_eurn_wg,CalculationSeries,,DailyMax(instant_%site%_wg),,1
1710,1686,0,1121,sum,eurn_zl,eurn,,Daily,zl,daily_eurn_zl,CalculationSeries,,DailyMin(instant_%site%_za),,1
1740,1733,0,1129,sum,evfu_pc,evfu,,Daily,pc,daily_evfu_pc,CalculationSeries,,DailyMidnight(instant_%site%_pc),,1
15784,15779,0,1,,brbi_mx,brbi,,Daily,mx,daily_brbi_mx,Series,,,,1
1744,1733,0,1133,sum,evfu_ta,evfu,,Daily,ta,daily_evfu_ta,CalculationSeries,,"DailyAverage(instant_%site%_tu,92)",,1
1739,1733,0,1128,sum,evfu_mx,evfu,,Daily,mx,daily_evfu_mx,CalculationSeries,,DailyMax(instant_%site%_obx),,1
1755,1733,0,1143,sum,evfu_xj,evfu,,Daily,xj,daily_evfu_xj,CalculationSeries,,"DailyAverage(instant_%site%_sv,92)",,1
1738,1733,0,1127,sum,evfu_mn,evfu,,Daily,mn,daily_evfu_mn,CalculationSeries,,DailyMin(instant_%site%_obn),,1
